,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,16,AAPL,Nomura,-0.08625730994152048,175.0,191.52
1,2018,7,16,AAPL,Sanford C. Bernstein,-0.00793650793650802,190.0,191.52
2,2018,07,10,AAPL,Bank of America,,230.0,
3,2018,07,09,AAPL,Royal Bank of Canada,,210.0,
4,2018,07,06,AAPL,Loop Capital,,210.0,
5,2018,6,26,AAPL,Barclays,-0.04366358817421723,175.0,182.99
6,2018,6,25,AAPL,Sanford C. Bernstein,0.03598691384950925,190.0,183.4
7,2018,6,13,AAPL,UBS Group,0.091362644215778,210.0,192.42
8,2018,06,11,AAPL,Macquarie,,197.0,
9,2018,06,08,AAPL,Argus,,225.0,
10,2018,06,07,AAPL,UBS Group,,210.0,
11,2018,06,05,AAPL,Goldman Sachs Group,,164.0,
12,2018,06,05,AAPL,Royal Bank of Canada,,210.0,
13,2018,06,01,AAPL,UBS Group,,210.0,
14,2018,5,30,AAPL,Maxim Group,0.06541657788195177,200.0,187.72
15,2018,5,24,AAPL,Morgan Stanley,0.13365471208348767,214.0,188.77
16,2018,05,02,AAPL,Morningstar,,175.0,
17,2018,05,02,AAPL,Atlantic Securities,,185.0,
18,2018,05,02,AAPL,Macquarie,,197.0,
19,2018,05,02,AAPL,BMO Capital Markets,,171.0,
20,2018,05,02,AAPL,HSBC,,205.0,
21,2018,05,02,AAPL,Canaccord Genuity,,208.0,
22,2018,05,02,AAPL,Sanford C. Bernstein,,190.0,
23,2018,05,02,AAPL,Citigroup,,142.2,
24,2018,05,02,AAPL,Maxim Group,,204.0,
25,2018,05,02,AAPL,Barclays,,161.0,
26,2018,05,02,AAPL,Deutsche Bank,,165.0,
27,2018,05,02,AAPL,Piper Jaffray Companies,,214.0,
28,2018,05,02,AAPL,Goldman Sachs Group,,164.0,
29,2018,05,01,AAPL,UBS Group,,190.0,
30,2018,4,30,AAPL,DA Davidson,0.35693411838139966,220.0,162.1302
31,2018,4,30,AAPL,Barclays,-0.03164247006418297,157.0,162.1302
32,2018,4,26,AAPL,Sanford C. Bernstein,0.03582744333414567,170.0,164.12
33,2018,4,24,AAPL,Deutsche Bank,-0.0825134303132733,152.0,165.67
34,2018,4,24,AAPL,Wells Fargo & Co,0.17703869137441908,195.0,165.67
35,2018,4,24,AAPL,UBS Group,0.14685821210840833,190.0,165.67
36,2018,4,20,AAPL,Morgan Stanley,0.17236730267592848,200.0,170.595
37,2018,04,11,AAPL,Royal Bank of Canada,,203.0,
38,2018,04,11,AAPL,Monness Crespi & Hardt,,235.0,
39,2018,04,03,AAPL,Nomura,,175.0,
40,2018,04,03,AAPL,Goldman Sachs Group,,159.0,
41,2018,04,03,AAPL,Royal Bank of Canada,,203.0,
42,2018,3,28,AAPL,Royal Bank of Canada,0.21375186846038874,203.0,167.25
