,Day,Month,Year,brokerage,open,price_target,stock,yield
0,12,7,2018,Deutsche Bank,199.17,208.0,MMM,0.04433398604207461
1,12,7,2018,MED,199.17,208.0,MMM,0.04433398604207461
3,16,5,2018,Jefferies Financial Group,200.52,200.0,MMM,-0.002593257530420945
4,3,5,2018,Royal Bank of Canada,194.52,238.0,MMM,0.22352457330865705
5,26,4,2018,UBS Group,198.68,215.0,MMM,0.08214213811153613
6,26,4,2018,JPMorgan Chase & Co.,198.68,221.0,MMM,0.1123414535937186
7,25,4,2018,Argus,201.1,240.0,MMM,0.1934361014420687
8,25,4,2018,Stifel Nicolaus,201.1,210.0,MMM,0.04425658876181005
9,25,4,2018,Royal Bank of Canada,201.1,227.0,MMM,0.12879164594728998
10,25,4,2018,Barclays,201.1,210.0,MMM,0.04425658876181005
11,2,4,2018,Stifel Nicolaus,218.05,225.0,MMM,0.03187342352671396
12,26,3,2018,Barclays,217.86,230.0,MMM,0.05572385935922153
14,15,2,2018,Barclays,233.31,235.0,MMM,0.007243581501007235
15,13,2,2018,Deutsche Bank,229.71,275.0,MMM,0.19716163858778454
16,25,1,2018,Royal Bank of Canada,250.0,254.0,MMM,0.016000000000000014
17,24,1,2018,Hilliard Lyons,247.99,285.0,MMM,0.14923988870518978
18,23,1,2018,UBS Group,246.91,262.0,MMM,0.06111538617309952
19,18,1,2018,JPMorgan Chase & Co.,248.13,221.0,MMM,-0.10933784709628014
20,16,1,2018,Citigroup,245.3,278.0,MMM,0.13330615572768026
21,10,1,2018,Deutsche Bank,241.0,240.0,MMM,-0.004149377593360981
22,25,10,2017,Citigroup,235.01,262.0,MMM,0.11484617675843588
23,25,10,2017,Jefferies Financial Group,235.01,262.0,MMM,0.11484617675843588
24,25,10,2017,Bank of America,235.01,257.0,MMM,0.0935704863622826
25,25,10,2017,Credit Suisse Group,235.01,260.0,MMM,0.10633590059997444
26,25,10,2017,Argus,235.01,260.0,MMM,0.10633590059997444
27,25,10,2017,Royal Bank of Canada,235.01,209.0,MMM,-0.11067614144078974
28,25,10,2017,Stifel Nicolaus,235.01,244.0,MMM,0.038253691332283735
29,25,10,2017,Goldman Sachs Group,235.01,229.0,MMM,-0.025573379856176248
30,13,10,2017,Royal Bank of Canada,218.83,205.0,MMM,-0.06319974409358864
31,11,10,2017,Credit Suisse Group,216.75,237.0,MMM,0.09342560553633228
32,9,10,2017,Citigroup,215.96,250.0,MMM,0.15762178181144648
33,2,10,2017,Morgan Stanley,210.73,201.0,MMM,-0.04617282778911402
34,20,9,2017,JPMorgan Chase & Co.,211.77,201.0,MMM,-0.05085706190678574
35,15,9,2017,Royal Bank of Canada,212.59,209.0,MMM,-0.01688696552048541
36,14,9,2017,Bank of America,209.15,227.0,MMM,0.08534544585225913
37,16,8,2017,Jefferies Financial Group,207.21,234.0,MMM,0.1292891269726364
38,28,7,2017,Stifel Nicolaus,200.79,210.0,MMM,0.0458688181682354
39,26,7,2017,Citigroup,200.45,228.0,MMM,0.13744075829383884
40,26,7,2017,Morgan Stanley,200.45,190.0,MMM,-0.05213270142180093
41,26,7,2017,Royal Bank of Canada,200.45,209.0,MMM,0.042654028436019065
42,19,7,2017,Stifel Nicolaus,211.51,202.0,MMM,-0.04496241312467486
43,10,7,2017,Morgan Stanley,209.6,191.0,MMM,-0.0887404580152672
44,9,6,2017,Morgan Stanley,206.0,193.0,MMM,-0.06310679611650483
45,6,6,2017,Bank of America,206.01,225.0,MMM,0.09217999126256003
47,1,6,2017,Jefferies Financial Group,204.25,234.0,MMM,0.14565483476132202
48,26,5,2017,Jefferies Financial Group,199.14,219.0,MMM,0.0997288339861404
50,26,4,2017,Stifel Nicolaus,195.7,202.0,MMM,0.03219213081246819
51,19,4,2017,Jefferies Financial Group,190.8,219.0,MMM,0.14779874213836466
52,19,4,2017,Barclays,190.8,201.0,MMM,0.053459119496855216
54,25,1,2017,Citigroup,177.09,204.0,MMM,0.1519566322209045
55,25,1,2017,Stifel Nicolaus,177.09,190.0,MMM,0.07290078491162677
56,25,1,2017,UBS Group,177.09,209.0,MMM,0.1801908634027896
57,4,1,2017,Royal Bank of Canada,178.03,176.0,MMM,-0.011402572600123562
58,14,12,2016,Jefferies Financial Group,179.16,200.0,MMM,0.11632060727841045
59,14,12,2016,Stifel Nicolaus,179.16,186.0,MMM,0.03817816476892166
60,7,12,2016,Royal Bank of Canada,172.38,171.0,MMM,-0.008005569091541929
61,28,11,2016,Jefferies Financial Group,173.56,210.0,MMM,0.20995621110855045
62,21,11,2016,Goldman Sachs Group,171.42,159.0,MMM,-0.07245362268113398
63,26,10,2016,Royal Bank of Canada,165.69,155.0,MMM,-0.06451807592491997
64,26,10,2016,Royal Bank of Canada,165.69,155.0,MMM,-0.06451807592491997
65,24,10,2016,Barclays,172.65,194.0,MMM,0.12366058499855193
66,16,9,2016,Credit Suisse Group,175.88,195.0,MMM,0.10871048442119637
67,7,9,2016,Credit Suisse Group,180.04,195.0,MMM,0.08309264607864919
68,25,8,2016,Deutsche Bank,179.09,164.0,MMM,-0.08425931096096939
69,23,8,2016,Morgan Stanley,179.61,168.0,MMM,-0.06464005344913992
70,28,7,2016,Credit Suisse Group,177.65,186.0,MMM,0.0470025330706445
71,19,7,2016,Jefferies Financial Group,181.11,210.0,MMM,0.15951631605101868
0,16,7,2018,Jefferies Financial Group,100.6,105.0,AXP,0.04373757455268401
1,29,6,2018,Stephens,98.13,97.0,AXP,-0.011515336798124887
2,29,6,2018,Buckingham Research,98.13,112.0,AXP,0.14134311627432994
3,19,4,2018,Barclays,99.36,113.0,AXP,0.1372785829307568
4,19,4,2018,Guggenheim,99.36,104.0,AXP,0.046698872785829286
5,19,4,2018,Royal Bank of Canada,99.36,86.0,AXP,-0.1344605475040258
6,19,4,2018,Buckingham Research,99.36,111.0,AXP,0.11714975845410636
7,19,4,2018,Sanford C. Bernstein,99.36,120.0,AXP,0.20772946859903385
8,12,4,2018,Oppenheimer,92.52,110.0,AXP,0.18893212278426288
9,5,4,2018,Citigroup,94.2,110.0,AXP,0.16772823779193202
