,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,6,15,CAT,Bank of America,0.08054358634405046,163.0,150.85
1,2018,6,14,CAT,UBS Group,0.1881824020552345,185.0,155.7
2,2018,5,14,CAT,Stifel Nicolaus,0.11818006554848659,174.0,155.61
3,2018,5,3,CAT,Bank of America,0.1009951302138472,156.0,141.69
4,2018,4,25,CAT,Morgan Stanley,0.2862407008273655,185.0,143.83
5,2018,4,25,CAT,Daiwa Capital Markets,0.11242438990474857,160.0,143.83
6,2018,4,25,CAT,UBS Group,0.23757213376903286,178.0,143.83
7,2018,4,25,CAT,Seaport Global Securities,0.20280887158450933,173.0,143.83
8,2018,4,24,CAT,Robert W. Baird,-0.010954616588419452,158.0,159.75
9,2018,4,23,CAT,Citigroup,-0.06239896540575496,145.0,154.65
10,2018,4,16,CAT,Wells Fargo & Co,0.18623962040332143,180.0,151.74
11,2018,4,13,CAT,Robert W. Baird,0.10708401976935744,168.0,151.75
12,2018,4,11,CAT,Buckingham Research,0.15898554676847554,170.0,146.68
13,2018,3,14,CAT,Credit Suisse Group,0.3565891472868217,210.0,154.8
14,2018,3,2,CAT,Morgan Stanley,0.2405283980419768,185.0,149.13
15,2018,2,15,CAT,UBS Group,0.18898623279098858,190.0,159.8
16,2018,2,1,CAT,Argus,0.1473579756884147,185.0,161.24
17,2018,1,26,CAT,Royal Bank of Canada,0.11367809963864706,188.0,168.81
18,2018,1,26,CAT,UBS Group,0.125525738996505,190.0,168.81
19,2018,1,26,CAT,Jefferies Financial Group,0.007049345417925457,170.0,168.81
20,2018,1,26,CAT,Bank of America,0.13737337835436292,192.0,168.81
21,2018,1,26,CAT,Credit Suisse Group,0.0033173390202001496,169.37,168.81
22,2018,1,24,CAT,Barclays,0.05017502917152861,180.0,171.4
23,2018,1,23,CAT,Seaport Global Securities,0.13372093023255816,195.0,172.0
24,2018,1,19,CAT,Citigroup,0.09060897246949251,185.0,169.63
25,2018,1,19,CAT,Credit Suisse Group,0.13187525791428412,192.0,169.63
26,2018,1,18,CAT,Wells Fargo & Co,0.1811256127089116,200.0,169.33
27,2018,1,18,CAT,Berenberg Bank,0.1811256127089116,200.0,169.33
28,2018,1,12,CAT,Bank of America,0.11183010765339141,189.0,169.99
29,2018,1,8,CAT,JPMorgan Chase & Co.,0.21869477789287672,200.0,164.11
30,2018,1,5,CAT,UBS Group,0.12317484088356423,180.0,160.26
31,2018,1,4,CAT,BMO Capital Markets,0.2350370511115334,195.0,157.89
32,2017,12,21,CAT,Citigroup,0.04777184768016762,160.0,152.705
33,2017,12,12,CAT,Barclays,0.12899853648337856,162.0,143.49
34,2017,12,5,CAT,UBS Group,0.09347442680776008,155.0,141.75
35,2017,10,26,CAT,BMO Capital Markets,0.20543541788427833,165.0,136.88
36,2017,10,26,CAT,Argus,0.13237872589129163,155.0,136.88
37,2017,10,25,CAT,Citigroup,0.05677428758836811,145.0,137.21
38,2017,10,25,CAT,Credit Suisse Group,0.12965527293929013,155.0,137.21
39,2017,10,25,CAT,Deutsche Bank,0.08592668172873696,149.0,137.21
40,2017,10,25,CAT,Bank of America,0.10779097733401355,152.0,137.21
