,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,9,CSCO,Piper Jaffray Companies,0.16959064327485374,50.0,42.75
1,2018,5,18,CSCO,Argus,0.2655315232397606,55.0,43.46
2,2018,5,17,CSCO,JPMorgan Chase & Co.,0.34477162068166,58.0,43.13
3,2018,5,17,CSCO,Credit Suisse Group,-0.0493855784836541,41.0,43.13
4,2018,5,9,CSCO,Credit Suisse Group,-0.10683164865806904,41.0,45.904
5,2018,5,3,CSCO,JPMorgan Chase & Co.,0.29520727861044715,57.0,44.0084
6,2018,4,18,CSCO,Piper Jaffray Companies,0.09840842860345211,49.0,44.61
7,2018,3,16,CSCO,Citigroup,0.1471431722920804,52.0,45.33
8,2018,2,26,CSCO,Morgan Stanley,0.12866817155756216,50.0,44.3
9,2018,2,16,CSCO,Argus,0.1393414606357526,50.0,43.885
10,2018,2,16,CSCO,MKM Partners,0.09376780221032255,48.0,43.885
11,2018,2,16,CSCO,Oppenheimer,0.1393414606357526,50.0,43.885
12,2018,2,15,CSCO,Berenberg Bank,-0.112393209808055,40.0,45.065
13,2018,2,15,CSCO,Stifel Nicolaus,0.02074780872073667,46.0,45.065
14,2018,2,15,CSCO,Cowen,0.13169865749472986,51.0,45.065
15,2018,2,15,CSCO,Jefferies Financial Group,0.06512814823033408,48.0,45.065
16,2018,2,15,CSCO,Royal Bank of Canada,0.10950848773993127,50.0,45.065
17,2018,2,15,CSCO,Wells Fargo & Co,0.15388882724952846,52.0,45.065
18,2018,2,15,CSCO,BMO Capital Markets,-0.04582270054365911,43.0,45.065
19,2018,2,15,CSCO,Barclays,0.10950848773993127,50.0,45.065
20,2018,2,15,CSCO,KeyCorp,0.08731831798513268,49.0,45.065
21,2018,2,15,CSCO,Piper Jaffray Companies,0.06512814823033408,48.0,45.065
22,2018,2,13,CSCO,Citigroup,0.1358024691358024,46.0,40.5
23,2018,2,12,CSCO,Instinet,0.13538195729976543,46.0,40.515
24,2018,2,12,CSCO,Nomura,-0.18548685671973342,33.0,40.515
25,2018,2,12,CSCO,Royal Bank of Canada,0.0860175243736887,44.0,40.515
26,2018,2,7,CSCO,Goldman Sachs Group,0.1907715207144629,48.0,40.31
27,2018,1,29,CSCO,Loop Capital,0.06382978723404253,45.0,42.3
28,2018,1,19,CSCO,KeyCorp,0.04166666666666674,43.0,41.28
29,2018,1,17,CSCO,Barclays,0.10186092066601371,45.0,40.84
30,2018,1,10,CSCO,Piper Jaffray Companies,0.10970996216897855,44.0,39.65
31,2018,1,5,CSCO,Bank of America,0.16308470290771182,46.0,39.55
32,2017,12,14,CSCO,Stifel Nicolaus,0.04712041884816753,40.0,38.2
33,2017,12,5,CSCO,Robert W. Baird,0.08638049814520388,41.0,37.74
34,2017,11,27,CSCO,Sanford C. Bernstein,0.09559024924678172,40.0,36.51
35,2017,11,17,CSCO,Argus,0.22562674094707535,44.0,35.9
36,2017,11,16,CSCO,MKM Partners,0.05438401775804658,38.0,36.04
37,2017,11,16,CSCO,UBS Group,0.08213096559378474,39.0,36.04
38,2017,11,16,CSCO,BMO Capital Markets,-0.0011098779134295356,36.0,36.04
39,2017,11,16,CSCO,Bank of America,0.02663706992230863,37.0,36.04
40,2017,11,16,CSCO,Deutsche Bank,0.24861265260821308,45.0,36.04
41,2017,11,16,CSCO,Nomura,-0.0843507214206437,33.0,36.04
42,2017,11,16,CSCO,Royal Bank of Canada,0.10987791342952269,40.0,36.04
43,2017,11,16,CSCO,Jefferies Financial Group,0.10987791342952269,40.0,36.04
44,2017,11,16,CSCO,Citigroup,0.10987791342952269,40.0,36.04
45,2017,11,16,CSCO,Barclays,0.02663706992230863,37.0,36.04
46,2017,11,15,CSCO,Royal Bank of Canada,0.05975861053871068,36.0,33.97
47,2017,11,14,CSCO,Wells Fargo & Co,0.2404016538688718,42.0,33.86
48,2017,11,10,CSCO,Robert W. Baird,0.11567821491485608,38.0,34.06
49,2017,11,3,CSCO,Cowen,0.10851808634772464,38.0,34.28
50,2017,10,31,CSCO,Oppenheimer,0.059446733372572114,36.0,33.98
51,2017,10,24,CSCO,Berenberg Bank,-0.04069767441860461,33.0,34.4
52,2017,10,23,CSCO,BMO Capital Markets,-0.0711175616835995,32.0,34.45
53,2017,10,20,CSCO,Oppenheimer,0.05820105820105814,36.0,34.02
54,2017,10,12,CSCO,Piper Jaffray Companies,0.08238123872519543,36.0,33.26
55,2017,10,11,CSCO,KeyCorp,-0.011384062312762233,33.0,33.38
56,2017,10,6,CSCO,Credit Suisse Group,0.04011887072808329,35.0,33.65
57,2017,10,6,CSCO,Jefferies Financial Group,0.09955423476968805,37.0,33.65
58,2017,9,28,CSCO,BMO Capital Markets,-0.03672486453943402,32.0,33.22
59,2017,9,25,CSCO,Oppenheimer,0.08075652957069934,36.0,33.31
60,2017,9,11,CSCO,Robert W. Baird,0.1983601387574898,38.0,31.71
61,2017,9,6,CSCO,Deutsche Bank,0.25984251968503935,40.0,31.75
62,2017,8,20,CSCO,Oppenheimer,,36.0,
63,2017,8,20,CSCO,Sanford C. Bernstein,,38.0,
64,2017,8,18,CSCO,Bank of America,0.12903225806451624,35.0,31.0
65,2017,8,17,CSCO,Berenberg Bank,0.04795173070816139,33.0,31.49
66,2017,8,17,CSCO,Morgan Stanley,0.23848840901873625,39.0,31.49
67,2017,8,17,CSCO,Piper Jaffray Companies,0.1432200698634487,36.0,31.49
68,2017,8,17,CSCO,Robert W. Baird,0.20673229596697373,38.0,31.49
69,2017,8,16,CSCO,Cowen,0.2149532710280373,39.0,32.1
70,2017,8,15,CSCO,Stifel Nicolaus,0.06750392464678168,34.0,31.85
71,2017,8,15,CSCO,Drexel Hamilton,0.22448979591836737,39.0,31.85
72,2017,8,8,CSCO,Deutsche Bank,0.25984251968503935,40.0,31.75
73,2017,8,7,CSCO,Robert W. Baird,0.1953444479396036,38.0,31.79
74,2017,8,3,CSCO,Jefferies Financial Group,0.17125672681228243,37.0,31.59
75,2017,8,2,CSCO,Deutsche Bank,0.26702565726955974,40.0,31.57
76,2017,7,14,CSCO,Sanford C. Bernstein,0.21134842205929227,38.0,31.37
77,2017,7,4,CSCO,Cowen,,39.0,
78,2017,7,3,CSCO,Instinet,-0.06722418784174977,29.0,31.09
79,2017,7,1,CSCO,Sanford C. Bernstein,,38.0,
80,2017,7,1,CSCO,Berenberg Bank,,33.0,
81,2017,6,30,CSCO,Wunderlich,0.03806228373702414,33.0,31.79
82,2017,6,26,CSCO,Oppenheimer,0.11731843575418988,36.0,32.22
83,2017,6,26,CSCO,Credit Suisse Group,0.24146492861576663,40.0,32.22
84,2017,6,26,CSCO,Wells Fargo & Co,0.16387337057728124,37.5,32.22
85,2017,6,25,CSCO,Drexel Hamilton,,39.0,
86,2017,6,13,CSCO,Deutsche Bank,0.27795527156549515,40.0,31.3
87,2017,5,29,CSCO,Morgan Stanley,,39.0,
88,2017,5,26,CSCO,Jefferies Financial Group,0.17423040304665172,37.0,31.51
89,2017,5,23,CSCO,Drexel Hamilton,0.25667609173735473,40.0,31.83
90,2017,5,22,CSCO,Raymond James,0.1556982343499198,36.0,31.15
91,2017,5,22,CSCO,JPMorgan Chase & Co.,0.05939004815409321,33.0,31.15
92,2017,5,22,CSCO,Credit Suisse Group,0.2841091492776886,40.0,31.15
93,2017,5,22,CSCO,Barclays,0.09149277688603541,34.0,31.15
94,2017,5,19,CSCO,MKM Partners,0.07120352867044755,34.0,31.74
95,2017,5,19,CSCO,Jefferies Financial Group,0.16572148708254564,37.0,31.74
96,2017,5,19,CSCO,Cowen,0.22873345935727785,39.0,31.74
97,2017,5,19,CSCO,Wunderlich,-0.05482041587901698,30.0,31.74
98,2017,5,19,CSCO,Pacific Crest,0.03969754253308144,33.0,31.74
99,2017,5,19,CSCO,Deutsche Bank,0.26023944549464395,40.0,31.74
100,2017,5,19,CSCO,Instinet,-0.08632640201638309,29.0,31.74
101,2017,5,19,CSCO,Citigroup,0.13421550094517953,36.0,31.74
102,2017,5,18,CSCO,BMO Capital Markets,0.02893890675241151,32.0,31.1
103,2017,5,18,CSCO,Royal Bank of Canada,0.157556270096463,36.0,31.1
104,2017,5,16,CSCO,Drexel Hamilton,0.16822429906542058,40.0,34.24
105,2017,5,15,CSCO,Morgan Stanley,0.1470588235294117,39.0,34.0
106,2017,5,12,CSCO,Royal Bank of Canada,0.0714285714285714,36.0,33.6
107,2017,5,9,CSCO,BMO Capital Markets,0.025190392501464487,35.0,34.14
108,2017,4,27,CSCO,Credit Suisse Group,0.17612466921493675,40.0,34.01
109,2017,4,26,CSCO,Jefferies Financial Group,0.1018463371054199,37.0,33.58
110,2017,4,10,CSCO,Deutsche Bank,0.27427184466019416,42.0,32.96
111,2017,4,6,CSCO,Cowen,0.18181818181818188,39.0,33.0
112,2017,4,4,CSCO,Berenberg Bank,0.05263157894736836,35.0,33.25
113,2017,3,23,CSCO,Deutsche Bank,0.23239436619718323,42.0,34.08
114,2017,2,23,CSCO,Sanford C. Bernstein,0.07934655775962662,37.0,34.28
115,2017,2,19,CSCO,Sanford C. Bernstein,,34.0,
116,2017,2,17,CSCO,MKM Partners,0.04415274463007157,35.0,33.52
117,2017,2,16,CSCO,Citigroup,0.11244738424533973,37.0,33.26
118,2017,2,16,CSCO,Sanford C. Bernstein,0.11244738424533973,37.0,33.26
119,2017,2,16,CSCO,BMO Capital Markets,-0.007817197835237488,33.0,33.26
120,2017,2,16,CSCO,Credit Suisse Group,-0.24834636199639204,25.0,33.26
121,2017,2,16,CSCO,Royal Bank of Canada,0.11244738424533973,37.0,33.26
122,2017,2,16,CSCO,UBS Group,0.11244738424533973,37.0,33.26
123,2017,2,16,CSCO,Jefferies Financial Group,0.11244738424533973,37.0,33.26
124,2017,2,16,CSCO,Robert W. Baird,0.14251352976548404,38.0,33.26
125,2017,2,16,CSCO,Wunderlich,-0.18821407095610343,27.0,33.26
126,2017,2,16,CSCO,Royal Bank of Canada,0.05231509320505112,35.0,33.26
127,2017,2,14,CSCO,Oppenheimer,0.0658307210031348,34.0,31.9
128,2017,2,14,CSCO,Drexel Hamilton,0.1285266457680252,36.0,31.9
129,2017,2,7,CSCO,Robert W. Baird,0.11536010197578084,35.0,31.38
130,2017,1,28,CSCO,BMO Capital Markets,,33.0,
131,2017,1,28,CSCO,Drexel Hamilton,,36.0,
132,2017,1,27,CSCO,Royal Bank of Canada,0.1378413524057216,35.0,30.76
133,2017,1,25,CSCO,Deutsche Bank,0.1920103092783505,37.0,31.04
134,2017,1,25,CSCO,Wunderlich,-0.1301546391752577,27.0,31.04
135,2017,1,25,CSCO,Pacific Crest,0.06314432989690721,33.0,31.04
136,2017,1,24,CSCO,Oppenheimer,0.12063282794990116,34.0,30.34
137,2017,1,12,CSCO,BMO Capital Markets,0.09452736318407973,33.0,30.15
138,2016,12,29,CSCO,Barclays,0.11952584787619358,34.0,30.37
139,2016,12,29,CSCO,Citigroup,0.11952584787619358,34.0,30.37
140,2016,12,29,CSCO,Goldman Sachs Group,0.05367138623641754,32.0,30.37
141,2016,12,29,CSCO,Pacific Crest,0.08659861705630556,33.0,30.37
142,2016,12,29,CSCO,Credit Suisse Group,-0.17681922950279882,25.0,30.37
