,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,10,DIS,Credit Suisse Group,0.07294117647058829,114.0,106.25
1,2018,6,28,DIS,Imperial Capital,0.039360985468193554,108.0,103.91
2,2018,6,18,DIS,Pivotal Research,-0.13084112149532712,93.0,107.0
3,2018,5,9,DIS,B. Riley,0.20293398533007334,123.0,102.25
4,2018,5,9,DIS,Pivotal Research,-0.09046454767726164,93.0,102.25
5,2018,4,25,DIS,BMO Capital Markets,-0.045226130653266305,95.0,99.5
6,2018,4,17,DIS,Pivotal Research,-0.0810276679841897,93.0,101.2
7,2018,3,15,DIS,Loop Capital,0.25,130.0,104.0
8,2018,2,8,DIS,BMO Capital Markets,-0.09926993457855315,95.0,105.47
9,2018,2,7,DIS,Jefferies Financial Group,0.03867198367801161,112.0,107.83
10,2018,2,7,DIS,B. Riley,0.15923212464063807,125.0,107.83
11,2018,2,7,DIS,Pivotal Research,-0.12825744227024016,94.0,107.83
12,2018,2,6,DIS,Macquarie,0.21500777604976684,125.0,102.88
13,2018,2,5,DIS,Cowen,-0.04761904761904756,102.0,107.1
14,2018,1,31,DIS,Morgan Stanley,0.18095930232558133,130.0,110.08
15,2018,1,31,DIS,Loop Capital,-0.018895348837209336,108.0,110.08
16,2018,1,29,DIS,B. Riley,0.08831400535236411,122.0,112.1
17,2018,1,23,DIS,Barclays,-0.04779178380339166,105.0,110.27
18,2018,1,22,DIS,Loop Capital,-0.038723134125328684,106.0,110.27
19,2018,1,10,DIS,Bank of America,0.30956711531465997,144.0,109.96
20,2018,1,9,DIS,Pivotal Research,-0.15554344865159353,93.0,110.13
21,2018,1,3,DIS,Rosenblatt Securities,0.15874855156431056,130.0,112.19
22,2018,1,3,DIS,Royal Bank of Canada,0.2033158035475533,135.0,112.19
23,2018,1,2,DIS,Macquarie,0.14731528223955936,125.0,108.95
24,2017,12,20,DIS,Sanford C. Bernstein,-0.10414333706606937,100.0,111.625
25,2017,12,15,DIS,Wells Fargo & Co,0.20745941594740835,135.0,111.805
26,2017,12,15,DIS,Piper Jaffray Companies,0.11801797772908174,125.0,111.805
27,2017,12,14,DIS,Pivotal Research,-0.15545243619489557,91.0,107.75
28,2017,12,11,DIS,Loop Capital,0.010775245542099743,106.0,104.87
29,2017,12,4,DIS,Rosenblatt Securities,0.07981220657277,115.0,106.5
30,2017,11,22,DIS,Piper Jaffray Companies,0.16256539430342953,120.0,103.22
31,2017,11,22,DIS,BMO Capital Markets,-0.1280759542724278,90.0,103.22
32,2017,11,12,DIS,Royal Bank of Canada,,125.0,
33,2017,11,10,DIS,Piper Jaffray Companies,0.14296599676159638,120.0,104.99
34,2017,11,10,DIS,B. Riley,-0.038003619392322996,101.0,104.99
35,2017,11,10,DIS,JPMorgan Chase & Co.,0.19058957995999615,125.0,104.99
36,2017,11,10,DIS,Loop Capital,-0.018954186112963067,103.0,104.99
37,2017,11,10,DIS,Goldman Sachs Group,0.14296599676159638,120.0,104.99
38,2017,11,10,DIS,Jefferies Financial Group,-0.011620154300409524,103.77,104.99
39,2017,11,1,DIS,Citigroup,0.21267706104147566,119.0,98.13
40,2017,10,31,DIS,Piper Jaffray Companies,0.32734327139064745,130.0,97.94
41,2017,10,31,DIS,Morgan Stanley,0.2252399428221361,120.0,97.94
42,2017,10,13,DIS,Barclays,-0.02892561983471076,94.0,96.8
43,2017,10,9,DIS,Royal Bank of Canada,0.23995635353635558,125.0,100.81
44,2017,10,6,DIS,Jefferies Financial Group,0.030515257628814352,103.0,99.95
45,2017,9,28,DIS,Rosenblatt Securities,0.11369849144477073,110.0,98.77
46,2017,9,20,DIS,Wells Fargo & Co,0.17456460105305793,116.0,98.76
47,2017,9,11,DIS,Credit Suisse Group,0.22574055158324824,120.0,97.9
48,2017,9,11,DIS,JPMorgan Chase & Co.,0.27681307456588344,125.0,97.9
49,2017,9,8,DIS,Loop Capital,0.07783189967872328,104.0,96.49
50,2017,9,8,DIS,Bank of America,0.24365219193698828,120.0,96.49
51,2017,9,8,DIS,Jefferies Financial Group,-0.06726085604725873,90.0,96.49
52,2017,9,8,DIS,FBR & Co,0.005285521815732164,97.0,96.49
53,2017,9,5,DIS,UBS Group,0.23529411764705888,126.0,102.0
54,2017,9,5,DIS,Guggenheim,0.196078431372549,122.0,102.0
55,2017,9,5,DIS,Wells Fargo & Co,0.13725490196078427,116.0,102.0
56,2017,8,31,DIS,Loop Capital,0.029126213592232997,106.0,103.0
57,2017,8,22,DIS,Piper Jaffray Companies,0.2819248594813135,130.0,101.41
58,2017,8,19,DIS,Goldman Sachs Group,,119.0,
59,2017,8,16,DIS,Loop Capital,0.05066771406127257,107.0,101.84
60,2017,8,15,DIS,Piper Jaffray Companies,0.27914985732559283,130.0,101.63
61,2017,8,11,DIS,Barclays,-0.032098765432098775,98.0,101.25
62,2017,8,10,DIS,Deutsche Bank,0.2195121951219512,125.0,102.5
63,2017,8,10,DIS,Loop Capital,0.0536585365853659,108.0,102.5
64,2017,8,10,DIS,BMO Capital Markets,-0.12195121951219512,90.0,102.5
65,2017,8,10,DIS,Cowen,-0.07317073170731703,95.0,102.5
66,2017,8,10,DIS,Wells Fargo & Co,0.06341463414634152,109.0,102.5
67,2017,8,9,DIS,Goldman Sachs Group,0.3206235726342965,133.0,100.71
68,2017,8,9,DIS,Jefferies Financial Group,0.09224506007347832,110.0,100.71
69,2017,8,9,DIS,FBR & Co,0.11210406116572336,112.0,100.71
70,2017,8,9,DIS,Credit Suisse Group,0.1915400655347037,120.0,100.71
71,2017,8,9,DIS,Piper Jaffray Companies,0.2908350709959291,130.0,100.71
72,2017,7,25,DIS,Credit Suisse Group,0.16171003717472132,125.0,107.6
73,2017,7,16,DIS,BMO Capital Markets,,95.0,
74,2017,7,14,DIS,Royal Bank of Canada,0.2448530115867087,130.0,104.43
75,2017,7,12,DIS,Guggenheim,0.16925436074372247,122.0,104.34
76,2017,6,24,DIS,Bank of America,,125.0,
77,2017,6,21,DIS,Morgan Stanley,0.24533001245330022,130.0,104.39
78,2017,6,12,DIS,Royal Bank of Canada,0.22768911134195857,130.0,105.89
79,2017,5,28,DIS,Credit Suisse Group,,125.0,
80,2017,5,25,DIS,Wells Fargo & Co,0.026542125219643165,111.0,108.13
81,2017,5,20,DIS,Goldman Sachs Group,,134.0,
82,2017,5,19,DIS,BMO Capital Markets,-0.11015361558636194,95.0,106.76
83,2017,5,19,DIS,Piper Jaffray Companies,0.2176845260397151,130.0,106.76
84,2017,5,17,DIS,Macquarie,-0.009433962264150941,105.0,106.0
85,2017,5,15,DIS,Deutsche Bank,0.1391597557641484,125.0,109.73
86,2017,5,12,DIS,Loop Capital,0.06557377049180335,117.0,109.8
87,2017,5,12,DIS,BMO Capital Markets,-0.13479052823315119,95.0,109.8
88,2017,5,10,DIS,Piper Jaffray Companies,0.19266055045871555,130.0,109.0
89,2017,5,10,DIS,Wells Fargo & Co,0.0183486238532109,111.0,109.0
90,2017,5,10,DIS,Jefferies Financial Group,0.00917431192660545,110.0,109.0
91,2017,5,10,DIS,Goldman Sachs Group,0.22935779816513757,134.0,109.0
92,2017,5,8,DIS,Rosenblatt Securities,0.11219859418097688,125.0,112.39
93,2017,4,26,DIS,Goldman Sachs Group,0.19584055459272087,138.0,115.4
94,2017,4,24,DIS,Loop Capital,-0.0071143501648447405,114.44,115.26
95,2017,4,23,DIS,Pivotal Research,,85.0,
96,2017,4,20,DIS,Morgan Stanley,0.13865288604712278,130.0,114.17
97,2017,4,11,DIS,Guggenheim,0.12596762843068254,128.0,113.68
98,2017,4,11,DIS,JPMorgan Chase & Co.,0.09078114004222382,124.0,113.68
99,2017,4,11,DIS,Goldman Sachs Group,0.2139338494018297,138.0,113.68
100,2017,4,7,DIS,FBR & Co,0.028186491756780674,116.0,112.82
101,2017,4,6,DIS,Sanford C. Bernstein,-0.051838723969871436,107.0,112.85
102,2017,4,4,DIS,Rosenblatt Securities,0.06053910737958468,120.0,113.15
103,2017,3,27,DIS,Jefferies Financial Group,-0.01618817637062875,110.0,111.81
104,2017,3,21,DIS,Nomura,0.10648844826060011,125.0,112.97
105,2017,3,21,DIS,Instinet,0.10648844826060011,125.0,112.97
106,2017,3,16,DIS,Piper Jaffray Companies,0.15885184524870732,130.0,112.18
107,2017,3,14,DIS,Guggenheim,0.14561890271189482,128.0,111.73
108,2017,3,8,DIS,Instinet,0.08234869667177769,120.0,110.87
109,2017,2,10,DIS,FBR & Co,0.060813900320073166,116.0,109.35
110,2017,2,9,DIS,Hilliard Lyons,0.2102319611258825,132.0,109.07
111,2017,2,8,DIS,Loop Capital,0.07703541438481198,118.0,109.56
112,2017,2,8,DIS,Deutsche Bank,0.02227090178897395,112.0,109.56
113,2017,2,8,DIS,Evercore ISI,0.095290251916758,120.0,109.56
114,2017,2,8,DIS,Pivotal Research,-0.21504198612632353,86.0,109.56
115,2017,2,8,DIS,BMO Capital Markets,-0.19678714859437751,88.0,109.56
116,2017,2,8,DIS,Jefferies Financial Group,-0.08725812340270178,100.0,109.56
117,2017,2,8,DIS,Royal Bank of Canada,0.18656443957648783,130.0,109.56
118,2017,2,8,DIS,Guggenheim,0.07703541438481198,118.0,109.56
119,2017,2,8,DIS,Stifel Nicolaus,-0.08725812340270178,100.0,109.56
120,2017,2,7,DIS,Goldman Sachs Group,0.22207022343821237,134.0,109.65
121,2017,1,31,DIS,Guggenheim,0.0670042499321819,118.0,110.59
122,2017,1,30,DIS,Jefferies Financial Group,-0.08975059166211541,100.0,109.86
123,2017,1,30,DIS,Morgan Stanley,0.12870926633897684,124.0,109.86
124,2017,1,27,DIS,Piper Jaffray Companies,0.19826712139367686,130.0,108.49
125,2017,1,19,DIS,Evercore ISI,0.11193476649369893,120.0,107.92
126,2017,1,19,DIS,Royal Bank of Canada,0.20459599703484055,130.0,107.92
127,2017,1,19,DIS,Barclays,-0.0826538176426983,99.0,107.92
128,2017,1,18,DIS,Citigroup,0.15963714579631527,124.0,106.93
129,2017,1,18,DIS,BMO Capital Markets,-0.1770317029832601,88.0,106.93
130,2017,1,17,DIS,Loop Capital,0.08423686405337794,117.0,107.91
131,2017,1,17,DIS,Goldman Sachs Group,0.2417755537021593,134.0,107.91
132,2017,1,16,DIS,Jefferies Financial Group,,92.0,
133,2017,1,14,DIS,JPMorgan Chase & Co.,,124.0,
134,2017,1,12,DIS,Pivotal Research,-0.21383647798742145,85.0,108.12
135,2017,1,12,DIS,Drexel Hamilton,-0.010358860525342295,107.0,108.12
136,2017,1,6,DIS,Royal Bank of Canada,0.2035365458501135,130.0,108.015
137,2017,1,5,DIS,Royal Bank of Canada,0.2130260334048708,130.0,107.17
138,2017,1,3,DIS,Evercore ISI,0.13960113960113962,120.0,105.3
139,2016,12,16,DIS,Loop Capital,0.07917104383535478,113.0,104.71
140,2016,12,15,DIS,Piper Jaffray Companies,0.10736639383726532,115.0,103.85
141,2016,12,7,DIS,Cowen,-0.10456670978012139,90.0,100.51
142,2016,12,6,DIS,Royal Bank of Canada,0.010505252626313188,101.0,99.95
143,2016,12,6,DIS,Brean Capital,0.08054027013506748,108.0,99.95
144,2016,12,4,DIS,Deutsche Bank,,112.0,
145,2016,12,1,DIS,Sanford C. Bernstein,0.028951881367900834,102.0,99.13
146,2016,11,30,DIS,Argus,0.29778672032193154,129.0,99.4
147,2016,11,25,DIS,Stifel Nicolaus,0.013068584743187284,100.0,98.71
148,2016,11,17,DIS,Wood & Company,0.2180716809692076,120.65,99.05
149,2016,11,16,DIS,Deutsche Bank,0.13902166175124586,112.0,98.33
150,2016,11,13,DIS,Bank of America,,125.0,
151,2016,11,11,DIS,Pivotal Research,0.049598682856554666,102.0,97.18
152,2016,11,11,DIS,Wells Fargo & Co,0.029018316526034038,100.0,97.18
153,2016,11,11,DIS,UBS Group,0.15250051450915825,112.0,97.18
154,2016,11,11,DIS,Stifel Nicolaus,0.1319201481786374,110.0,97.18
155,2016,11,11,DIS,Royal Bank of Canada,0.05988886602181509,103.0,97.18
156,2016,11,11,DIS,Piper Jaffray Companies,0.1833710640049393,115.0,97.18
157,2016,11,11,DIS,Nomura,0.1319201481786374,110.0,97.18
158,2016,11,11,DIS,Morgan Stanley,0.08046923235233572,105.0,97.18
159,2016,11,11,DIS,Loop Capital,0.17308088083967887,114.0,97.18
160,2016,11,11,DIS,JPMorgan Chase & Co.,0.21424161350072013,118.0,97.18
161,2016,11,11,DIS,Jefferies Financial Group,-0.05330314879604858,92.0,97.18
162,2016,11,11,DIS,Goldman Sachs Group,0.11133978184811677,108.0,97.18
163,2016,11,11,DIS,FBR & Co,0.11133978184811677,108.0,97.18
164,2016,11,11,DIS,Drexel Hamilton,0.049598682856554666,102.0,97.18
165,2016,11,11,DIS,Credit Suisse Group,0.28627289565754266,125.0,97.18
166,2016,11,11,DIS,BMO Capital Markets,-0.07388351512656932,90.0,97.18
167,2016,11,11,DIS,Barclays,-0.08417369829182964,89.0,97.18
168,2016,10,27,DIS,Credit Suisse Group,0.33262260127931764,125.0,93.8
169,2016,10,17,DIS,BMO Capital Markets,-0.014778325123152691,90.0,91.35
170,2016,10,15,DIS,Nomura,,110.0,
171,2016,10,12,DIS,Jefferies Financial Group,0.0013060513713540889,92.0,91.88
172,2016,9,29,DIS,UBS Group,0.21554156718037776,112.0,92.14
173,2016,9,27,DIS,Nomura,0.25095181116066567,115.0,91.93
174,2016,9,27,DIS,Loop Capital,0.240073969324486,114.0,91.93
175,2016,9,26,DIS,Drexel Hamilton,0.103060452038499,102.0,92.47
176,2016,9,22,DIS,Jefferies Financial Group,-0.007872317480858482,92.0,92.73
177,2016,8,13,DIS,FBR & Co,,108.0,
178,2016,8,13,DIS,JPMorgan Chase & Co.,,118.0,
179,2016,8,11,DIS,Goldman Sachs Group,0.09979633401221988,108.0,98.2
180,2016,8,11,DIS,Citigroup,0.19144602851323822,117.0,98.2
181,2016,8,10,DIS,UBS Group,0.19958634953464327,116.0,96.7
182,2016,8,10,DIS,Pivotal Research,0.22026887280248197,118.0,96.7
183,2016,8,10,DIS,Macquarie,0.2926577042399172,125.0,96.7
184,2016,8,8,DIS,Piper Jaffray Companies,0.24856934762251592,120.0,96.11
185,2016,8,4,DIS,Deutsche Bank,0.2038103213650162,115.0,95.53
186,2016,8,1,DIS,UBS Group,0.20644825793031707,116.0,96.15
187,2016,7,26,DIS,FBR & Co,0.1131725417439704,108.0,97.02
188,2016,7,24,DIS,Pivotal Research,,122.0,
189,2016,7,20,DIS,Stifel Nicolaus,0.11505321844906224,110.0,98.65
