,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,6,5,DWDP,MED,0.33669983662557557,90.0,67.33
1,2018,5,17,DWDP,MED,0.32723787052057207,90.0,67.81
2,2018,5,4,DWDP,Credit Suisse Group,0.23398196487897494,78.0,63.21
3,2018,5,4,DWDP,Deutsche Bank,0.2023414016769498,76.0,63.21
4,2018,5,4,DWDP,Citigroup,0.26562252808099984,80.0,63.21
5,2018,4,17,DWDP,Royal Bank of Canada,0.2613147351239056,85.0,67.39
6,2018,4,10,DWDP,Bank of America,0.29529683885890523,84.0,64.85
7,2018,4,10,DWDP,Citigroup,0.26445643793369333,82.0,64.85
8,2018,3,27,DWDP,BMO Capital Markets,0.2671920877762326,82.0,64.71
9,2018,3,21,DWDP,Morgan Stanley,0.20500075312547072,80.0,66.39
10,2018,2,2,DWDP,Jefferies Financial Group,0.16342732001094995,85.0,73.06
11,2018,2,2,DWDP,Barclays,0.08130303859841215,79.0,73.06
12,2018,2,2,DWDP,Nomura,0.14973993977552702,84.0,73.06
13,2017,12,8,DWDP,Royal Bank of Canada,0.20769554837803694,86.0,71.21
14,2017,12,4,DWDP,Stephens,0.1572783045175683,83.0,71.72
15,2017,11,10,DWDP,SunTrust Banks,0.03944183397408518,73.0,70.23
16,2017,11,3,DWDP,UBS Group,0.1790817034262726,85.0,72.09
17,2017,11,3,DWDP,Credit Suisse Group,0.1374670550700512,82.0,72.09
18,2017,11,1,DWDP,Morgan Stanley,0.09424155382300636,80.0,73.11
19,2017,10,27,DWDP,UBS Group,0.12328767123287676,82.0,73.0
20,2017,10,12,DWDP,Credit Suisse Group,0.10489510489510478,79.0,71.5
21,2017,10,11,DWDP,Royal Bank of Canada,0.11888111888111896,80.0,71.5
22,2017,10,8,DWDP,Jefferies Financial Group,,80.0,
23,2017,10,5,DWDP,Deutsche Bank,0.12962439988703767,80.0,70.82
24,2017,9,19,DWDP,Argus,0.15681233933161964,81.0,70.02
25,2017,9,16,DWDP,Vertical Research,,79.0,
26,2017,9,15,DWDP,JPMorgan Chase & Co.,0.13862795331625377,80.0,70.26
27,2017,9,13,DWDP,Citigroup,0.13207547169811318,78.0,68.9
28,2017,9,13,DWDP,Nomura,0.19013062409288817,82.0,68.9
29,2017,9,13,DWDP,Cowen,0.16110304789550067,80.0,68.9
30,2017,9,13,DWDP,Instinet,0.19013062409288817,82.0,68.9
31,2017,9,11,DWDP,Bank of America,0.1954022988505748,78.0,65.25
32,2017,9,8,DWDP,Royal Bank of Canada,0.2326656394453004,80.0,64.9
33,2017,9,7,DWDP,Credit Suisse Group,0.13003095975232215,73.0,64.6
34,2017,9,6,DWDP,Morgan Stanley,0.18098159509202438,77.0,65.2
35,2017,9,5,DWDP,Instinet,0.148910772903611,77.0,67.02
36,2017,9,5,DWDP,Susquehanna Bancshares,0.19367353028946588,80.0,67.02
37,2017,9,5,DWDP,Macquarie,0.13398985377499262,76.0,67.02
38,2017,9,5,DWDP,Jefferies Financial Group,0.19367353028946588,80.0,67.02
39,2017,9,3,DWDP,Nomura,,77.0,
40,2017,9,1,DWDP,Sanford C. Bernstein,0.1851185118511851,79.0,66.66
