,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,11,HD,Loop Capital,0.014095933475306799,200.0,197.22
1,2018,6,20,HD,UBS Group,0.125,225.0,200.0
2,2018,5,15,HD,Deutsche Bank,0.10817941952506605,210.0,189.5
3,2018,5,15,HD,Loop Capital,-0.01319261213720313,187.0,189.5
4,2018,5,15,HD,Wells Fargo & Co,0.08179419525065956,205.0,189.5
5,2018,5,15,HD,Bank of America,0.1345646437994723,215.0,189.5
6,2018,5,14,HD,Credit Suisse Group,0.15926892950391647,222.0,191.5
7,2018,4,23,HD,Wells Fargo & Co,0.15414930751041545,205.0,177.62
8,2018,4,11,HD,Gabelli,0.19767441860465107,206.0,172.0
9,2018,3,21,HD,Morgan Stanley,0.17746005046257363,210.0,178.35
10,2018,3,1,HD,Loop Capital,0.023255813953488413,187.0,182.75
11,2018,2,22,HD,SunTrust Banks,0.017853254953189568,187.0,183.72
12,2018,2,22,HD,BMO Capital Markets,0.15937295885042446,213.0,183.72
13,2018,2,21,HD,Credit Suisse Group,0.18583409005929163,222.0,187.21
14,2018,2,21,HD,Wedbush,0.014903050050745215,190.0,187.21
15,2018,2,21,HD,Argus,0.14844292505742218,215.0,187.21
16,2018,2,21,HD,Stifel Nicolaus,0.20185887506009292,225.0,187.21
17,2018,2,21,HD,Citigroup,0.16980930505849035,219.0,187.21
18,2018,2,21,HD,Telsey Advisory Group,0.15912611505795615,217.0,187.21
19,2018,2,20,HD,Bank of America,0.0036861506055818616,190.6,189.9
20,2018,2,5,HD,Jefferies Financial Group,0.17325195980428276,223.0,190.07
21,2018,1,25,HD,Stifel Nicolaus,0.1121856866537716,230.0,206.8
22,2018,1,24,HD,Credit Suisse Group,0.08187134502923987,222.0,205.2
23,2018,1,19,HD,Telsey Advisory Group,0.10104599369400935,220.0,199.81
24,2017,12,15,HD,BMO Capital Markets,0.043687330947241865,191.0,183.005
25,2017,12,13,HD,Guggenheim,0.09884072303719571,200.0,182.01
26,2017,12,8,HD,Morgan Stanley,0.013698630136986356,185.0,182.5
27,2017,12,7,HD,Morgan Stanley,-0.028047764509858464,175.0,180.05
28,2017,12,7,HD,Deutsche Bank,0.11080255484587598,200.0,180.05
29,2017,12,7,HD,SunTrust Banks,-0.028047764509858464,175.0,180.05
30,2017,12,7,HD,Sanford C. Bernstein,-0.05581782838100535,170.0,180.05
31,2017,12,7,HD,BTIG Research,0.19411274645931686,215.0,180.05
32,2017,12,7,HD,Citigroup,0.18300472091085807,213.0,180.05
33,2017,12,4,HD,Telsey Advisory Group,0.03717451825973028,190.0,183.19
34,2017,11,30,HD,Robert W. Baird,0.09507497051721248,195.0,178.07
35,2017,11,29,HD,Credit Suisse Group,0.03641615223424144,183.0,176.57
36,2017,11,28,HD,Atlantic Securities,0.00034307278861001045,174.95,174.89
37,2017,11,16,HD,Citigroup,0.12790976721862246,188.0,166.68
38,2017,11,15,HD,SunTrust Banks,-0.002627806975633029,167.0,167.44
39,2017,11,15,HD,Argus,0.1347348303870044,190.0,167.44
40,2017,11,15,HD,BMO Capital Markets,0.05112279025322497,176.0,167.44
41,2017,11,15,HD,UBS Group,0.11084567606306739,186.0,167.44
42,2017,11,15,HD,Royal Bank of Canada,0.11084567606306739,186.0,167.44
43,2017,11,15,HD,Telsey Advisory Group,0.07501194457716198,180.0,167.44
44,2017,11,14,HD,Robert W. Baird,0.1306686224177973,185.0,163.62
45,2017,11,14,HD,Oppenheimer,0.08788656643442128,178.0,163.62
46,2017,11,8,HD,Bank of America,0.1632178278437615,190.0,163.34
47,2017,10,30,HD,Royal Bank of Canada,0.0719204742798969,179.0,166.99
48,2017,10,13,HD,Robert W. Baird,0.0611205432937183,175.0,164.92
49,2017,10,13,HD,Credit Suisse Group,0.03686635944700467,171.0,164.92
50,2017,10,3,HD,Gordon Haskett,0.1520175545532123,189.0,164.06
51,2017,10,1,HD,Piper Jaffray Companies,,164.0,
52,2017,9,18,HD,Royal Bank of Canada,0.12578616352201255,179.0,159.0
53,2017,9,10,HD,Robert W. Baird,,175.0,
