,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,6,27,IBM,Nomura,0.15016893106174956,160.0,139.11
1,2018,4,16,IBM,Pivotal Research,0.13931261472245082,180.0,157.99
2,2018,3,26,IBM,Bank of America,0.3226638449837973,200.0,151.21
3,2018,3,20,IBM,Pivotal Research,0.1427120365667851,180.0,157.52
4,2018,3,9,IBM,BMO Capital Markets,0.11132279164285253,175.0,157.47
5,2018,1,23,IBM,Morgan Stanley,0.2590590836506572,205.0,162.82
6,2018,1,19,IBM,Cantor Fitzgerald,-0.07576310349021043,152.0,164.46
7,2018,1,19,IBM,Royal Bank of Canada,0.0944910616563297,180.0,164.46
8,2018,1,19,IBM,Societe Generale,-0.0940046211844826,149.0,164.46
9,2018,1,19,IBM,JPMorgan Chase & Co.,0.015444484981150364,167.0,164.46
10,2018,1,19,IBM,Goldman Sachs Group,0.033686002675422655,170.0,164.46
11,2018,1,19,IBM,Bank of America,0.21610117961814423,200.0,164.46
12,2018,1,19,IBM,Morgan Stanley,0.20394016782196278,198.0,164.46
13,2018,1,18,IBM,Pivotal Research,0.05882352941176472,180.0,170.0
14,2018,1,18,IBM,Wedbush,0.08823529411764697,185.0,170.0
15,2018,1,17,IBM,Barclays,0.1427891196952562,192.0,168.01
16,2018,1,12,IBM,Societe Generale,-0.07328374588464825,152.0,164.02
17,2018,1,11,IBM,BMO Capital Markets,0.061893203883495174,175.0,164.8
18,2018,1,3,IBM,Royal Bank of Canada,0.14401932121520278,180.0,157.34
19,2017,11,15,IBM,Royal Bank of Canada,0.08108108108108114,160.0,148.0
20,2017,10,27,IBM,Pivotal Research,0.16474699107027302,180.0,154.54
21,2017,10,18,IBM,Berenberg Bank,-0.20442973523421593,125.0,157.12
22,2017,10,18,IBM,Sanford C. Bernstein,-0.04531568228105909,150.0,157.12
23,2017,10,18,IBM,Stifel Nicolaus,0.15835030549898166,182.0,157.12
24,2017,10,18,IBM,Barclays,-0.1535132382892057,133.0,157.12
25,2017,10,18,IBM,Goldman Sachs Group,0.08197556008146645,170.0,157.12
26,2017,10,18,IBM,JPMorgan Chase & Co.,-0.0007637474541751788,157.0,157.12
27,2017,10,18,IBM,Citigroup,0.050152749490834925,165.0,157.12
28,2017,10,18,IBM,UBS Group,0.018329938900203624,160.0,157.12
29,2017,10,18,IBM,BMO Capital Markets,0.08197556008146645,170.0,157.12
30,2017,10,17,IBM,Drexel Hamilton,0.3639773579758576,200.0,146.63
31,2017,10,13,IBM,Cantor Fitzgerald,0.04420938432329824,154.0,147.48
32,2017,10,6,IBM,Stifel Nicolaus,0.24113475177304977,182.0,146.64
33,2017,9,21,IBM,Jefferies Financial Group,-0.14177823549605217,125.0,145.65
34,2017,9,5,IBM,UBS Group,0.059233449477351874,152.0,143.5
35,2017,8,23,IBM,Morgan Stanley,0.3646055437100215,192.0,140.7
36,2017,8,18,IBM,Royal Bank of Canada,0.1357989635834458,160.0,140.87
37,2017,8,9,IBM,Sanford C. Bernstein,0.05820105820105814,150.0,141.75
38,2017,8,9,IBM,Wedbush,0.09347442680776008,155.0,141.75
39,2017,8,3,IBM,Wedbush,0.07318424150107306,155.0,144.43
40,2017,7,22,IBM,UBS Group,,159.0,
41,2017,7,22,IBM,Royal Bank of Canada,,160.0,
42,2017,7,22,IBM,Morgan Stanley,,192.0,
43,2017,7,22,IBM,Goldman Sachs Group,,168.0,
44,2017,7,21,IBM,Argus,0.18571718951148442,175.0,147.59
45,2017,7,21,IBM,Stifel Nicolaus,0.2331458770919439,182.0,147.59
46,2017,7,21,IBM,Berenberg Bank,-0.1530591503489397,125.0,147.59
