,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,16,INTC,Stifel Nicolaus,0.15052732502396937,60.0,52.15
1,2018,7,16,INTC,Royal Bank of Canada,0.15052732502396937,60.0,52.15
2,2018,7,12,INTC,Robert W. Baird,0.22958693563880894,64.0,52.05
3,2018,7,5,INTC,KeyCorp,0.20048019207683088,60.0,49.98
4,2018,6,27,INTC,Goldman Sachs Group,0.07417916497770571,53.0,49.34
5,2018,6,26,INTC,Sanford C. Bernstein,-0.15915915915915924,42.0,49.95
6,2018,6,25,INTC,Nomura,0.07484854406879027,55.0,51.17
7,2018,6,22,INTC,Morgan Stanley,0.0452299505891296,55.0,52.62
8,2018,6,22,INTC,Needham & Company LLC,0.1402508551881414,60.0,52.62
9,2018,6,21,INTC,Sanford C. Bernstein,-0.006987863184994558,54.0,54.38
10,2018,6,21,INTC,Wells Fargo & Co,0.19529238690695094,65.0,54.38
11,2018,6,21,INTC,Stifel Nicolaus,0.1033468186833395,60.0,54.38
12,2018,6,6,INTC,Sanford C. Bernstein,-0.04475499734654165,54.0,56.53
13,2018,5,18,INTC,Macquarie,0.17366587199706585,64.0,54.53
14,2018,5,18,INTC,Wells Fargo & Co,0.1920044012470199,65.0,54.53
15,2018,5,17,INTC,Cowen,0.008249312557286892,55.0,54.55
16,2018,5,14,INTC,BNP Paribas,-0.014058791309110918,54.0,54.77
17,2018,5,7,INTC,Sanford C. Bernstein,0.02156640181611813,54.0,52.86
18,2018,5,2,INTC,Morningstar,0.1678282162365794,62.0,53.09
19,2018,4,30,INTC,Argus,0.23668188736681883,65.0,52.56
20,2018,4,30,INTC,Citigroup,0.21765601217656005,64.0,52.56
21,2018,4,27,INTC,Roth Capital,0.1724386724386724,65.0,55.44
22,2018,4,27,INTC,BMO Capital Markets,0.11832611832611839,62.0,55.44
23,2018,4,27,INTC,Morgan Stanley,-0.025974025974025983,54.0,55.44
24,2018,4,27,INTC,Barclays,0.11832611832611839,62.0,55.44
25,2018,4,27,INTC,SunTrust Banks,0.02813852813852824,57.0,55.44
26,2018,4,27,INTC,KeyCorp,0.1724386724386724,65.0,55.44
27,2018,4,27,INTC,Stifel Nicolaus,0.02813852813852824,57.0,55.44
28,2018,4,27,INTC,B. Riley,0.1724386724386724,65.0,55.44
29,2018,4,27,INTC,Wells Fargo & Co,0.1724386724386724,65.0,55.44
30,2018,4,27,INTC,Sanford C. Bernstein,-0.025974025974025983,54.0,55.44
31,2018,4,25,INTC,Credit Suisse Group,0.15696104897801777,60.0,51.86
32,2018,4,24,INTC,Royal Bank of Canada,0.04106419895893576,54.0,51.87
33,2018,4,24,INTC,Sanford C. Bernstein,-0.26739926739926734,38.0,51.87
34,2018,4,24,INTC,Citigroup,0.156737998843262,60.0,51.87
35,2018,4,19,INTC,Barclays,0.1331444759206799,60.0,52.95
36,2018,4,18,INTC,Bank of America,0.21449925261584446,65.0,53.52
37,2018,4,12,INTC,Macquarie,0.12643231695474855,58.0,51.49
38,2018,4,5,INTC,Tigress Financial,0.006598680263947276,50.34,50.01
39,2018,4,5,INTC,UBS Group,0.39972005598880234,70.0,50.01
40,2018,4,4,INTC,Stifel Nicolaus,0.10187110187110182,53.0,48.1
41,2018,3,28,INTC,DZ Bank,0.04950495049504955,53.0,50.5
42,2018,3,26,INTC,Robert W. Baird,0.2219156484036262,62.0,50.74
43,2018,3,22,INTC,Wells Fargo & Co,0.18249901458415452,60.0,50.74
44,2018,3,8,INTC,Bank of America,0.17783355860204675,61.0,51.79
45,2018,2,26,INTC,Nomura,0.24481327800829877,60.0,48.2
46,2018,2,6,INTC,Macquarie,0.24943207632894127,55.0,44.02
47,2018,2,5,INTC,Wells Fargo & Co,0.18662351672060407,55.0,46.35
48,2018,1,30,INTC,Citigroup,0.17219078415521438,58.0,49.48
49,2018,1,29,INTC,UBS Group,0.028225806451612767,51.0,49.6
50,2018,1,26,INTC,MKM Partners,0.13683340223232743,55.0,48.38
51,2018,1,26,INTC,Roth Capital,0.1781727986771393,57.0,48.38
52,2018,1,26,INTC,Deutsche Bank,0.13683340223232743,55.0,48.38
53,2018,1,26,INTC,B. Riley,0.13683340223232743,55.0,48.38
54,2018,1,26,INTC,Goldman Sachs Group,-0.007854485324514271,48.0,48.38
55,2018,1,26,INTC,Nomura,0.0334849111202975,50.0,48.38
56,2018,1,26,INTC,SunTrust Banks,0.0334849111202975,50.0,48.38
57,2018,1,26,INTC,Morgan Stanley,-0.11120297643654409,43.0,48.38
58,2018,1,26,INTC,Sanford C. Bernstein,-0.2145514675485738,38.0,48.38
59,2018,1,26,INTC,Wells Fargo & Co,0.13683340223232743,55.0,48.38
60,2018,1,26,INTC,Robert W. Baird,0.24018189334435713,60.0,48.38
61,2018,1,26,INTC,Morningstar,-0.15254237288135597,41.0,48.38
62,2018,1,26,INTC,Macquarie,0.13683340223232743,55.0,48.38
63,2018,1,26,INTC,Royal Bank of Canada,-0.049193881769326264,46.0,48.38
64,2018,1,26,INTC,Needham & Company LLC,0.0334849111202975,50.0,48.38
