,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,15,JNJ,Jefferies Financial Group,,145.0,
1,2018,7,13,JNJ,Credit Suisse Group,0.20491541653367396,151.0,125.32
2,2018,6,27,JNJ,Sanford C. Bernstein,0.05625153524932447,129.0,122.13
3,2018,6,12,JNJ,Credit Suisse Group,0.22604741799285488,151.0,123.16
4,2018,4,23,JNJ,Citigroup,0.056116015132408714,134.0,126.88
5,2018,4,20,JNJ,Credit Suisse Group,0.1796875,151.0,128.0
6,2018,4,18,JNJ,Wells Fargo & Co,0.15660421003932457,150.0,129.69
7,2018,4,18,JNJ,Stifel Nicolaus,0.040943789035392086,135.0,129.69
8,2018,4,18,JNJ,Leerink Swann,0.23371115737527948,160.0,129.69
9,2018,4,17,JNJ,Credit Suisse Group,0.16569525395503737,154.0,132.11
10,2018,4,17,JNJ,Goldman Sachs Group,0.014306259934902643,134.0,132.11
11,2018,4,13,JNJ,Jefferies Financial Group,0.1671370813944617,153.0,131.09
12,2018,4,10,JNJ,Morgan Stanley,0.09788867562380044,143.0,130.25
13,2018,3,23,JNJ,Jefferies Financial Group,0.261458904646243,161.0,127.63
14,2018,2,27,JNJ,Citigroup,0.10430375917101564,146.0,132.21
15,2018,2,26,JNJ,Jefferies Financial Group,0.2527522587502846,165.0,131.71
16,2018,1,24,JNJ,Stifel Nicolaus,0.010452961672473782,145.0,143.5
17,2018,1,24,JNJ,BTIG Research,-0.23344947735191635,110.0,143.5
18,2018,1,22,JNJ,Credit Suisse Group,0.047547785864907155,154.0,147.01
19,2018,1,12,JNJ,Wells Fargo & Co,0.10352438099179251,160.0,144.99
20,2017,12,12,JNJ,BMO Capital Markets,0.133323947627763,161.0,142.06
21,2017,10,23,JNJ,Citigroup,0.04833603039470913,149.0,142.13
22,2017,10,19,JNJ,Credit Suisse Group,0.09444957714448154,154.0,140.71
23,2017,10,18,JNJ,Barclays,0.05121102351019258,148.0,140.79
24,2017,10,18,JNJ,Cowen,0.1009304638113504,155.0,140.79
25,2017,10,18,JNJ,Morgan Stanley,0.029902691952553573,145.0,140.79
26,2017,10,18,JNJ,Argus,0.171958235670147,165.0,140.79
27,2017,10,18,JNJ,Wells Fargo & Co,0.1009304638113504,155.0,140.79
