,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,16,MCD,Stifel Nicolaus,0.059135039717564064,168.0,158.62
1,2018,07,11,MCD,Jefferies Financial Group,,200.0,
2,2018,07,11,MCD,Wells Fargo & Co,,180.0,
3,2018,07,09,MCD,Royal Bank of Canada,,175.0,
4,2018,6,21,MCD,Wells Fargo & Co,0.1329536407618348,185.0,163.29
5,2018,6,14,MCD,Citigroup,0.06561302681992331,178.0,167.04
6,2018,06,07,MCD,Nomura,,191.0,
7,2018,5,25,MCD,Royal Bank of Canada,0.07732085693179025,175.0,162.44
8,2018,05,08,MCD,Goldman Sachs Group,,185.0,
9,2018,05,02,MCD,Barclays,,204.0,
10,2018,05,02,MCD,Goldman Sachs Group,,185.0,
11,2018,05,01,MCD,Bank of America,,190.0,
12,2018,05,01,MCD,Royal Bank of Canada,,175.0,
13,2018,05,01,MCD,BMO Capital Markets,,195.0,
14,2018,05,01,MCD,JPMorgan Chase & Co.,,182.0,
15,2018,05,01,MCD,Stifel Nicolaus,,168.0,
16,2018,4,25,MCD,Wells Fargo & Co,0.17766885225030227,185.0,157.09
17,2018,4,18,MCD,Stifel Nicolaus,0.014822559813026714,165.0,162.59
18,2018,04,10,MCD,Piper Jaffray Companies,,185.0,
19,2018,3,26,MCD,Morgan Stanley,0.08187696050188853,169.0,156.21
20,2018,3,23,MCD,Goldman Sachs Group,0.1802779364172853,186.0,157.59
21,2018,03,12,MCD,BMO Capital Markets,,190.0,
22,2018,03,12,MCD,JPMorgan Chase & Co.,,182.0,
23,2018,03,12,MCD,Royal Bank of Canada,,170.0,
24,2018,03,06,MCD,Credit Suisse Group,,175.0,
25,2018,03,05,MCD,Bank of America,,180.0,
26,2018,03,02,MCD,Royal Bank of Canada,,170.0,
27,2018,02,06,MCD,Citigroup,,176.0,
28,2018,1,31,MCD,Deutsche Bank,0.09447004608294929,190.0,173.6
29,2018,1,31,MCD,Barclays,0.15207373271889413,200.0,173.6
30,2018,1,31,MCD,JPMorgan Chase & Co.,0.05990783410138256,184.0,173.6
31,2018,1,31,MCD,Sanford C. Bernstein,0.12327188940092171,195.0,173.6
32,2018,1,31,MCD,Telsey Advisory Group,0.09447004608294929,190.0,173.6
33,2018,1,31,MCD,BMO Capital Markets,0.09447004608294929,190.0,173.6
34,2018,1,30,MCD,Credit Suisse Group,0.07848673066064382,191.0,177.1
35,2018,1,30,MCD,Royal Bank of Canada,0.07284020327498597,190.0,177.1
36,2018,1,30,MCD,Nomura,0.1462450592885376,203.0,177.1
37,2018,1,30,MCD,Stephens,0.044607566346696714,185.0,177.1
38,2018,1,30,MCD,Goldman Sachs Group,0.12930547713156404,200.0,177.1
39,2018,1,29,MCD,Bank of America,0.1217049915872126,200.0,178.3
40,2018,1,23,MCD,Nomura,0.12775531127185746,198.0,175.57
41,2018,1,23,MCD,Credit Suisse Group,0.08788517400467044,191.0,175.57
42,2018,1,19,MCD,Goldman Sachs Group,0.14292245271158355,200.0,174.99
43,2018,1,16,MCD,Barclays,0.1807395461352379,205.0,173.62
44,2018,01,12,MCD,JPMorgan Chase & Co.,,186.0,
45,2018,01,05,MCD,Cowen,,200.0,
46,2018,01,05,MCD,Goldman Sachs Group,,190.0,
47,2018,01,03,MCD,SunTrust Banks,,187.0,
48,2018,01,03,MCD,Stifel Nicolaus,,172.0,
49,2018,01,02,MCD,Robert W. Baird,,190.0,
50,2018,01,02,MCD,Nomura,,190.0,
51,2018,01,02,MCD,Royal Bank of Canada,,190.0,
52,2017,12,27,MCD,Royal Bank of Canada,0.10897099165353397,190.0,171.33
53,2017,12,21,MCD,Royal Bank of Canada,0.10030113504748672,190.0,172.68
54,2017,12,19,MCD,Credit Suisse Group,0.06026305986187919,185.0,174.485
55,2017,12,14,MCD,Piper Jaffray Companies,0.06646682423473793,185.0,173.47
56,2017,12,12,MCD,Goldman Sachs Group,0.040462427745664664,180.0,173.0
57,2017,12,08,MCD,Barclays,,193.0,
58,2017,12,05,MCD,Jefferies Financial Group,,200.0,
59,2017,11,08,MCD,Goldman Sachs Group,,173.0,
60,2017,10,26,MCD,Deutsche Bank,0.1270866333617644,185.0,164.14
61,2017,10,25,MCD,Credit Suisse Group,0.08928462150419203,178.0,163.41
62,2017,10,25,MCD,BMO Capital Markets,0.0709258919282787,175.0,163.41
63,2017,10,25,MCD,JPMorgan Chase & Co.,0.0709258919282787,175.0,163.41
64,2017,10,25,MCD,Stifel Nicolaus,0.009730126675234096,165.0,163.41
65,2017,10,25,MCD,Wells Fargo & Co,0.13212165718132307,185.0,163.41
66,2017,10,25,MCD,Nomura,0.10152377455480077,180.0,163.41
67,2017,10,25,MCD,Robert W. Baird,0.0709258919282787,175.0,163.41
68,2017,10,25,MCD,UBS Group,0.040328009301756396,170.0,163.41
69,2017,10,20,MCD,Deutsche Bank,0.10626083836632194,185.0,167.23
70,2017,10,18,MCD,Barclays,0.10109504507229716,182.0,165.29
71,2017,10,17,MCD,Nomura,0.10962891098714533,183.0,164.92
72,2017,10,13,MCD,Goldman Sachs Group,0.04591061112800254,172.0,164.45
73,2017,10,13,MCD,Royal Bank of Canada,0.09455761629674675,180.0,164.45
74,2017,10,12,MCD,SunTrust Banks,0.09209153935824288,178.0,162.99
75,2017,10,12,MCD,Piper Jaffray Companies,0.043008773544389145,170.0,162.99
76,2017,10,06,MCD,Canaccord Genuity,,170.0,
77,2017,10,03,MCD,Robert W. Baird,,170.0,
78,2017,10,02,MCD,Stifel Nicolaus,,160.0,
79,2017,10,02,MCD,Telsey Advisory Group,,180.0,
80,2017,9,28,MCD,Longbow Research,0.171875,183.0,156.16
81,2017,9,20,MCD,Credit Suisse Group,0.07663077897403414,170.0,157.9
82,2017,9,19,MCD,Sanford C. Bernstein,0.1445285178355693,180.0,157.27
83,2017,9,13,MCD,Mizuho,0.1037386755135894,173.0,156.74
84,2017,09,08,MCD,Royal Bank of Canada,,175.0,
85,2017,09,01,MCD,Robert W. Baird,,170.0,
86,2017,8,14,MCD,Bank of America,0.11146395681168642,175.0,157.45
87,2017,7,28,MCD,Piper Jaffray Companies,0.08723458685085683,170.0,156.36
88,2017,7,28,MCD,Cowen,0.15118956254796623,180.0,156.36
89,2017,7,27,MCD,Goldman Sachs Group,0.11238971998465686,174.0,156.42
90,2017,7,26,MCD,BMO Capital Markets,0.10229276895943573,175.0,158.76
91,2017,7,26,MCD,JPMorgan Chase & Co.,0.07079868984630888,170.0,158.76
92,2017,7,26,MCD,Deutsche Bank,0.13378684807256236,180.0,158.76
93,2017,7,26,MCD,Barclays,0.08969513731418499,173.0,158.76
94,2017,7,26,MCD,Mizuho,0.07079868984630888,170.0,158.76
95,2017,7,26,MCD,UBS Group,0.007810531620055405,160.0,158.76
96,2017,7,26,MCD,Royal Bank of Canada,0.10229276895943573,175.0,158.76
97,2017,7,26,MCD,Sanford C. Bernstein,0.13378684807256236,180.0,158.76
98,2017,7,26,MCD,Morgan Stanley,0.020408163265306145,162.0,158.76
99,2017,7,26,MCD,Stephens,-0.023683547493071222,155.0,158.76
100,2017,7,26,MCD,Robert W. Baird,0.07079868984630888,170.0,158.76
101,2017,7,26,MCD,Credit Suisse Group,0.07079868984630888,170.0,158.76
102,2017,7,25,MCD,Sanford C. Bernstein,0.07765451664025358,170.0,157.75
103,2017,7,22,MCD,Argus,,175.0,
104,2017,7,21,MCD,Goldman Sachs Group,0.08399324938335706,167.0,154.06
105,2017,7,21,MCD,Instinet,0.11644813708944568,172.0,154.06
106,2017,7,20,MCD,JPMorgan Chase & Co.,0.10368110108420447,170.0,154.03
107,2017,7,19,MCD,Morgan Stanley,-0.026795562187763577,150.0,154.13
108,2017,7,19,MCD,Barclays,0.06403685200804521,164.0,154.13
109,2017,7,19,MCD,Nomura,0.11594108869136455,172.0,154.13
110,2017,7,19,MCD,Jefferies Financial Group,-0.0916758580419127,140.0,154.13
111,2017,7,14,MCD,Piper Jaffray Companies,-0.01283953803471194,153.0,154.99
112,2017,07,10,MCD,Robert W. Baird,,164.0,
113,2017,07,10,MCD,Deutsche Bank,,175.0,
114,2017,6,29,MCD,BTIG Research,0.13209988355544056,175.0,154.58
115,2017,6,26,MCD,Wells Fargo & Co,0.12772264467070493,175.0,155.18
116,2017,6,22,MCD,Royal Bank of Canada,0.10547535440239297,170.0,153.78
117,2017,6,16,MCD,Jefferies Financial Group,-0.07272486422042646,140.0,150.98
118,2017,6,13,MCD,Bank of America,0.1756012360607282,175.0,148.86
119,2017,06,08,MCD,Mizuho,,168.0,
120,2017,06,08,MCD,Credit Suisse Group,,165.0,
121,2017,06,02,MCD,Royal Bank of Canada,,155.0,
122,2017,06,01,MCD,Telsey Advisory Group,,165.0,
123,2017,5,30,MCD,Barclays,0.09369789929976657,164.0,149.95
