,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,12,MMM,Deutsche Bank,0.04433398604207461,208.0,199.17
1,2018,7,12,MMM,MED,0.04433398604207461,208.0,199.17
2,2018,6,9,MMM,Citigroup,,263.0,
3,2018,5,16,MMM,Jefferies Financial Group,-0.002593257530420945,200.0,200.52
4,2018,5,3,MMM,Royal Bank of Canada,0.22352457330865705,238.0,194.52
5,2018,4,26,MMM,UBS Group,0.08214213811153614,215.0,198.68
6,2018,4,26,MMM,JPMorgan Chase & Co.,0.11234145359371861,221.0,198.68
7,2018,4,25,MMM,Argus,0.1934361014420687,240.0,201.1
8,2018,4,25,MMM,Stifel Nicolaus,0.044256588761810045,210.0,201.1
9,2018,4,25,MMM,Royal Bank of Canada,0.12879164594728998,227.0,201.1
10,2018,4,25,MMM,Barclays,0.044256588761810045,210.0,201.1
11,2018,4,2,MMM,Stifel Nicolaus,0.03187342352671396,225.0,218.05
12,2018,3,26,MMM,Barclays,0.05572385935922153,230.0,217.86
13,2018,3,24,MMM,Citigroup,,284.0,
14,2018,2,15,MMM,Barclays,0.007243581501007235,235.0,233.31
15,2018,2,13,MMM,Deutsche Bank,0.19716163858778457,275.0,229.71
16,2018,1,25,MMM,Royal Bank of Canada,0.016000000000000014,254.0,250.0
17,2018,1,24,MMM,Hilliard Lyons,0.14923988870518978,285.0,247.99
18,2018,1,23,MMM,UBS Group,0.06111538617309953,262.0,246.91
19,2018,1,18,MMM,JPMorgan Chase & Co.,-0.10933784709628014,221.0,248.13
20,2018,1,16,MMM,Citigroup,0.13330615572768023,278.0,245.3
21,2018,1,10,MMM,Deutsche Bank,-0.004149377593360981,240.0,241.0
22,2017,10,25,MMM,Citigroup,0.11484617675843589,262.0,235.01
23,2017,10,25,MMM,Jefferies Financial Group,0.11484617675843589,262.0,235.01
24,2017,10,25,MMM,Bank of America,0.0935704863622826,257.0,235.01
25,2017,10,25,MMM,Credit Suisse Group,0.10633590059997444,260.0,235.01
26,2017,10,25,MMM,Argus,0.10633590059997444,260.0,235.01
27,2017,10,25,MMM,Royal Bank of Canada,-0.11067614144078974,209.0,235.01
28,2017,10,25,MMM,Stifel Nicolaus,0.038253691332283735,244.0,235.01
29,2017,10,25,MMM,Goldman Sachs Group,-0.025573379856176248,229.0,235.01
