,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,15,MRK,Jefferies Financial Group,,59.0,
1,2018,4,26,MRK,BMO Capital Markets,0.17017719826145106,70.0,59.82
2,2018,4,23,MRK,Goldman Sachs Group,-0.020316402997502037,58.83,60.05
3,2018,4,20,MRK,Cowen,0.13829425756031255,67.0,58.86
4,2018,4,17,MRK,Bank of America,0.1697860962566844,70.0,59.84
5,2018,4,17,MRK,Morgan Stanley,0.052807486631015976,63.0,59.84
6,2018,4,16,MRK,BMO Capital Markets,0.12515146269690147,65.0,57.77
7,2018,4,13,MRK,Jefferies Financial Group,-0.01892081289418357,56.0,57.08
8,2018,4,6,MRK,BMO Capital Markets,0.19749447310243173,65.0,54.28
9,2018,4,5,MRK,Barclays,0.16236832546313118,64.0,55.06
10,2018,3,23,MRK,Jefferies Financial Group,0.012518409425625876,55.0,54.32
11,2018,3,8,MRK,BMO Capital Markets,0.19222303741746138,65.0,54.52
12,2018,2,26,MRK,Jefferies Financial Group,0.018181818181818077,56.0,55.0
13,2018,2,21,MRK,BMO Capital Markets,0.18117390514264953,65.0,55.03
14,2018,2,14,MRK,Leerink Swann,0.2152458110845148,66.0,54.31
15,2018,2,14,MRK,Credit Suisse Group,0.19683299576505253,65.0,54.31
16,2018,2,13,MRK,BMO Capital Markets,0.17689661415897162,65.0,55.23
17,2018,2,7,MRK,Morgan Stanley,0.1419249592169658,63.0,55.17
18,2018,2,6,MRK,Leerink Swann,0.21508886470801603,67.0,55.14
19,2018,2,5,MRK,Credit Suisse Group,0.13265831474171952,66.0,58.27
20,2018,1,17,MRK,BMO Capital Markets,0.15588376946540383,72.0,62.29
21,2018,1,16,MRK,Jefferies Financial Group,-0.10931174089068829,55.0,61.75
22,2018,1,16,MRK,SunTrust Banks,0.165991902834008,72.0,61.75
23,2018,1,16,MRK,BMO Capital Markets,0.10121457489878538,68.0,61.75
24,2017,12,13,MRK,BMO Capital Markets,0.19423955040393404,68.0,56.94
25,2017,11,28,MRK,Bank of America,0.16511924267249234,64.0,54.93
26,2017,11,24,MRK,Deutsche Bank,0.08256880733944949,59.0,54.5
27,2017,11,15,MRK,Sanford C. Bernstein,0.16873630387143912,64.0,54.76
28,2017,11,3,MRK,Cowen,0.26582278481012667,70.0,55.3
29,2017,10,31,MRK,Jefferies Financial Group,-0.12996193583469284,48.0,55.17
30,2017,10,30,MRK,BMO Capital Markets,0.21973094170403584,68.0,55.75
31,2017,10,30,MRK,Leerink Swann,0.2376681614349776,69.0,55.75
32,2017,10,30,MRK,UBS Group,0.2017937219730941,67.0,55.75
33,2017,10,30,MRK,Morgan Stanley,0.004484304932735439,56.0,55.75
34,2017,10,30,MRK,Barclays,0.11210762331838575,62.0,55.75
35,2017,10,29,MRK,JPMorgan Chase & Co.,,70.0,
36,2017,10,23,MRK,Leerink Swann,0.0932375449008278,70.0,64.03
37,2017,10,20,MRK,Jefferies Financial Group,-0.13860610806577922,55.0,63.85
38,2017,10,18,MRK,BMO Capital Markets,0.09221407395849579,70.0,64.09
39,2017,10,18,MRK,Citigroup,0.12342019035731,72.0,64.09
40,2017,10,12,MRK,BMO Capital Markets,0.12870355855149707,72.0,63.79
41,2017,10,11,MRK,BMO Capital Markets,0.08797015853279455,70.0,64.34
42,2017,9,8,MRK,BMO Capital Markets,0.12517580872011247,72.0,63.99
43,2017,9,5,MRK,Credit Suisse Group,0.1607843137254903,74.0,63.75
44,2017,9,1,MRK,Cowen,0.09735068192506668,70.0,63.79
45,2017,8,30,MRK,Credit Suisse Group,0.17199873297434265,74.0,63.14
