,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,16,MSFT,Goldman Sachs Group,0.0815939278937381,114.0,105.4
1,2018,7,12,MSFT,Barclays,0.050890337647173434,108.0,102.77
2,2018,7,9,MSFT,Morgan Stanley,0.2789585735479885,130.0,101.6452
3,2018,7,3,MSFT,Sanford C. Bernstein,0.224124203821656,123.0,100.48
4,2018,6,18,MSFT,Jefferies Financial Group,-0.25007499250074994,75.0,100.01
5,2018,6,14,MSFT,Barclays,0.062469257255287625,108.0,101.65
6,2018,6,13,MSFT,Stifel Nicolaus,0.05190719622493112,107.0,101.72
7,2018,6,13,MSFT,Macquarie,-0.016909162406606337,100.0,101.72
8,2018,6,13,MSFT,UBS Group,0.12072355485646868,114.0,101.72
9,2018,6,11,MSFT,Morgan Stanley,0.2824306994179737,130.0,101.37
10,2018,6,11,MSFT,Jefferies Financial Group,-0.26013613495116905,75.0,101.37
11,2018,6,6,MSFT,Argus,0.1319281811085089,116.0,102.48
12,2018,6,5,MSFT,Goldman Sachs Group,0.1470588235294117,117.0,102.0
13,2018,6,1,MSFT,Oppenheimer,0.1583423818339682,115.0,99.2798
14,2018,5,18,MSFT,Royal Bank of Canada,0.19779189667742947,115.0,96.01
15,2018,5,15,MSFT,Evercore ISI,0.21349238996297837,118.0,97.24
16,2018,5,10,MSFT,Credit Suisse Group,0.17997127026472404,115.0,97.46
17,2018,5,8,MSFT,Royal Bank of Canada,0.19984641965828365,115.0,95.8456
18,2018,5,4,MSFT,Nomura,0.15730818688384063,108.0,93.32
19,2018,5,3,MSFT,Stifel Nicolaus,0.15103270223752152,107.0,92.96
20,2018,5,2,MSFT,Morningstar,0.2317086009053586,117.0,94.99
21,2018,4,30,MSFT,Goldman Sachs Group,0.21457489878542502,117.0,96.33
22,2018,4,30,MSFT,Macquarie,0.038098204090107,100.0,96.33
23,2018,4,30,MSFT,Citigroup,0.038098204090107,100.0,96.33
24,2018,4,30,MSFT,Credit Suisse Group,0.19381293470362304,115.0,96.33
25,2018,4,27,MSFT,Canaccord Genuity,0.12704918032786883,110.0,97.6
26,2018,4,27,MSFT,Stifel Nicolaus,0.0963114754098362,107.0,97.6
27,2018,4,27,MSFT,UBS Group,0.16803278688524603,114.0,97.6
28,2018,4,27,MSFT,KeyCorp,0.12704918032786883,110.0,97.6
29,2018,4,27,MSFT,Barclays,0.10655737704918034,108.0,97.6
30,2018,4,27,MSFT,JPMorgan Chase & Co.,0.12704918032786883,110.0,97.6
31,2018,4,24,MSFT,Credit Suisse Group,0.1949045115438166,115.0,96.242
32,2018,4,23,MSFT,Royal Bank of Canada,0.09667904695457441,105.0,95.7436
33,2018,4,20,MSFT,Goldman Sachs Group,0.07392346991971643,103.0,95.91
34,2018,4,12,MSFT,Credit Suisse Group,0.24418478848858594,115.0,92.43
35,2018,3,26,MSFT,Morgan Stanley,0.4347202295552368,130.0,90.61
36,2018,3,12,MSFT,Deutsche Bank,0.24352331606217614,120.0,96.5
37,2018,2,6,MSFT,Argus,,107.0,
38,2018,2,2,MSFT,Nomura,,105.0,
39,2018,2,1,MSFT,Deutsche Bank,,115.0,
40,2018,2,1,MSFT,Goldman Sachs Group,,103.0,
41,2018,2,1,MSFT,Royal Bank of Canada,,105.0,
42,2018,2,1,MSFT,Atlantic Securities,,97.0,
43,2018,2,1,MSFT,Wells Fargo & Co,,105.0,
44,2018,2,1,MSFT,Morningstar,,106.0,
45,2018,2,1,MSFT,JPMorgan Chase & Co.,,94.0,
46,2018,2,1,MSFT,Morgan Stanley,,110.0,
47,2018,2,1,MSFT,Jefferies Financial Group,,62.0,
48,2018,2,1,MSFT,Macquarie,,95.0,
49,2018,2,1,MSFT,UBS Group,,110.0,
50,2018,2,1,MSFT,Sanford C. Bernstein,,118.0,
51,2018,2,1,MSFT,Bank of America,,106.0,
52,2018,2,1,MSFT,BMO Capital Markets,,107.0,
53,2018,2,1,MSFT,KeyCorp,,110.0,
54,2018,2,1,MSFT,Canaccord Genuity,,105.0,
55,2018,2,1,MSFT,Stifel Nicolaus,,105.0,
56,2018,2,1,MSFT,Citigroup,,115.0,
57,2018,1,28,MSFT,KeyCorp,,106.0,
58,2018,1,26,MSFT,BMO Capital Markets,,100.0,
59,2018,1,25,MSFT,JPMorgan Chase & Co.,,87.0,
60,2018,1,25,MSFT,Barclays,,100.0,
61,2018,1,23,MSFT,Nomura,,102.0,
62,2018,1,23,MSFT,Goldman Sachs Group,,100.0,
63,2018,1,23,MSFT,Stifel Nicolaus,,92.0,
64,2018,1,22,MSFT,Royal Bank of Canada,,100.0,
65,2018,1,19,MSFT,UBS Group,,105.0,
