,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,15,PFE,Jefferies Financial Group,,39.0,
1,2018,7,12,PFE,Credit Suisse Group,0.04250200481154787,39.0,37.41
2,2018,7,11,PFE,Cantor Fitzgerald,0.20805369127516782,45.0,37.25
3,2018,7,11,PFE,JPMorgan Chase & Co.,0.12751677852348986,42.0,37.25
4,2018,7,9,PFE,Jefferies Financial Group,0.046418030587603853,39.0,37.27
5,2018,6,13,PFE,Cantor Fitzgerald,0.2372834753918065,45.0,36.37
6,2018,6,11,PFE,Morgan Stanley,0.1684782608695654,43.0,36.8
7,2018,6,11,PFE,Credit Suisse Group,0.05978260869565233,39.0,36.8
8,2018,6,7,PFE,Cantor Fitzgerald,0.23321457933680456,45.0,36.49
9,2018,5,30,PFE,Societe Generale,0.08484005563282326,39.0,35.95
10,2018,5,18,PFE,Credit Suisse Group,0.09519797809604036,39.0,35.61
11,2018,5,14,PFE,Jefferies Financial Group,0.09828217403548312,39.0,35.51
12,2018,5,8,PFE,JPMorgan Chase & Co.,0.20309366943569196,42.0,34.91
13,2018,5,2,PFE,Morningstar,0.23684958771680398,43.5,35.17
14,2018,5,2,PFE,BMO Capital Markets,0.19419960193346597,42.0,35.17
15,2018,5,2,PFE,JPMorgan Chase & Co.,0.19419960193346597,42.0,35.17
16,2018,4,13,PFE,Jefferies Financial Group,0.04366932161494108,38.0,36.41
17,2018,4,11,PFE,Berenberg Bank,0.035544360481388315,37.0,35.73
18,2018,4,5,PFE,Barclays,0.06532099803756664,38.0,35.67
19,2018,4,2,PFE,BMO Capital Markets,0.21400338791643136,43.0,35.42
20,2018,3,6,PFE,BMO Capital Markets,0.1865342163355408,43.0,36.24
21,2018,2,26,PFE,Jefferies Financial Group,0.0746762193441719,39.0,36.29
22,2018,2,15,PFE,BMO Capital Markets,0.21571953633022334,43.0,35.37
23,2018,2,5,PFE,BMO Capital Markets,0.1787280701754388,43.0,36.48
24,2018,1,31,PFE,Barclays,0.08122362869198296,41.0,37.92
25,2018,1,31,PFE,Credit Suisse Group,0.028481012658227778,39.0,37.92
26,2018,1,31,PFE,Leerink Swann,0.002109704641350074,38.0,37.92
27,2018,1,31,PFE,UBS Group,0.10759493670886067,42.0,37.92
28,2018,1,31,PFE,Morgan Stanley,0.13396624472573837,43.0,37.92
29,2018,1,31,PFE,Societe Generale,0.05485232067510548,40.0,37.92
30,2018,1,30,PFE,Goldman Sachs Group,-0.05783826223501698,36.0,38.21
31,2018,1,30,PFE,Morningstar,-0.005495943470295805,38.0,38.21
32,2018,1,30,PFE,Bank of America,0.04684637529442548,40.0,38.21
33,2018,1,30,PFE,Sanford C. Bernstein,0.12535985344150746,43.0,38.21
34,2018,1,30,PFE,Berenberg Bank,-0.05783826223501698,36.0,38.21
35,2018,1,30,PFE,BMO Capital Markets,0.020675215912064893,39.0,38.21
36,2018,1,29,PFE,SunTrust Banks,0.02564102564102555,40.0,39.0
37,2018,1,24,PFE,BMO Capital Markets,0.054339010543390076,39.0,36.99
38,2018,1,16,PFE,Jefferies Financial Group,0.09379272627837021,40.0,36.57
39,2018,1,8,PFE,BMO Capital Markets,0.06209150326797386,39.0,36.72
40,2018,1,5,PFE,Morgan Stanley,0.11352525801195013,41.0,36.82
41,2017,12,15,PFE,BMO Capital Markets,0.059494702526487364,39.0,36.81
42,2017,12,8,PFE,BMO Capital Markets,0.10419026047565128,39.0,35.32
43,2017,12,6,PFE,UBS Group,0.1207621182404035,40.0,35.69
44,2017,12,6,PFE,Deutsche Bank,0.06472401232838343,38.0,35.69
45,2017,11,25,PFE,BMO Capital Markets,,39.0,
46,2017,11,16,PFE,Jefferies Financial Group,0.10356536502546687,39.0,35.34
47,2017,11,10,PFE,BMO Capital Markets,0.11111111111111116,39.0,35.1
48,2017,11,1,PFE,JPMorgan Chase & Co.,0.11396743787489294,39.0,35.01
49,2017,11,1,PFE,Jefferies Financial Group,0.11396743787489294,39.0,35.01
50,2017,11,1,PFE,Goldman Sachs Group,0.028277634961439757,36.0,35.01
51,2017,11,1,PFE,UBS Group,0.08540417023707514,38.0,35.01
52,2017,10,31,PFE,Berenberg Bank,0.02710413694721825,36.0,35.05
53,2017,10,31,PFE,BMO Capital Markets,0.1126961483594866,39.0,35.05
54,2017,10,26,PFE,Jefferies Financial Group,0.080631753948462,39.0,36.09
