,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,12,V,Wells Fargo & Co,0.11502769584921957,155.0,139.01
1,2018,6,26,V,Buckingham Research,0.27923699947013847,169.0,132.11
2,2018,6,6,V,Wedbush,0.11940298507462677,150.0,134.0
3,2018,5,18,V,UBS Group,0.08779509334979174,141.0,129.62
4,2018,4,27,V,Argus,0.14678899082568808,145.0,126.44
5,2018,4,26,V,Buckingham Research,0.21463960364391887,152.0,125.14
6,2018,4,26,V,Morgan Stanley,0.1347291034041873,142.0,125.14
7,2018,4,9,V,Guggenheim,0.20542864368203673,143.0,118.63
8,2018,3,27,V,Sanford C. Bernstein,0.1767610269914417,143.0,121.52
9,2018,2,5,V,BMO Capital Markets,0.24684077506318447,148.0,118.7
10,2018,2,2,V,Mizuho,0.0992563853863564,136.0,123.72
11,2018,2,2,V,Guggenheim,0.0992563853863564,136.0,123.72
12,2018,2,2,V,Loop Capital,0.1477529906239896,142.0,123.72
13,2018,2,2,V,Barclays,0.2124151309408342,150.0,123.72
14,2018,2,2,V,Morgan Stanley,0.13158745554477846,140.0,123.72
15,2018,2,2,V,Piper Jaffray Companies,0.325573876495312,164.0,123.72
16,2018,2,2,V,Nomura,0.1800840607824119,146.0,123.72
17,2018,2,2,V,Cantor Fitzgerald,0.13967022308438404,141.0,123.72
18,2018,2,2,V,KeyCorp,0.13158745554477846,140.0,123.72
19,2018,1,29,V,Cantor Fitzgerald,-0.029509231497554023,123.0,126.74
20,2018,1,29,V,Citigroup,0.14407448319394045,145.0,126.74
21,2018,1,25,V,Oppenheimer,0.1439999999999999,143.0,125.0
22,2018,1,25,V,Morgan Stanley,0.09600000000000009,137.0,125.0
23,2018,1,12,V,Cowen,0.07392607392607387,129.0,120.12
24,2018,1,12,V,Citigroup,0.13220113220113205,136.0,120.12
25,2018,1,10,V,Stephens,0.13741680006740253,135.0,118.69
26,2018,1,9,V,Wells Fargo & Co,0.12528132033008244,135.0,119.97
27,2018,1,8,V,Credit Suisse Group,0.08759801028581071,129.0,118.61
28,2018,1,5,V,Barclays,0.23942217283528522,145.0,116.99
29,2017,12,28,V,Susquehanna Bancshares,0.29483814523184604,148.0,114.3
30,2017,12,22,V,"Keefe, Bruyette & Woods",0.25411367072845326,141.0,112.43
31,2017,10,30,V,Jefferies Financial Group,0.15801951308470863,127.0,109.67
32,2017,10,26,V,Buckingham Research,0.1777495923174488,130.0,110.38
