,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,6,26,WMT,Morningstar,0.0401016988327747,90.0,86.53
1,2018,6,13,WMT,Morgan Stanley,0.1085945881511503,93.0,83.89
2,2018,6,7,WMT,Susquehanna Bancshares,-0.056381221986317565,80.0,84.78
3,2018,6,4,WMT,Bank of America,0.17365269461077837,98.0,83.5
4,2018,5,29,WMT,Credit Suisse Group,0.03709126403123486,85.0,81.96
5,2018,5,29,WMT,Sanford C. Bernstein,0.22010736944851161,100.0,81.96
6,2018,5,18,WMT,JPMorgan Chase & Co.,0.03276353276353272,87.0,84.24
7,2018,5,18,WMT,Jefferies Financial Group,0.258309591642925,106.0,84.24
8,2018,5,18,WMT,Stifel Nicolaus,0.03276353276353272,87.0,84.24
9,2018,5,18,WMT,Bank of America,0.1633428300094968,98.0,84.24
10,2018,5,17,WMT,Credit Suisse Group,-0.02343750000000011,85.0,87.04
11,2018,5,17,WMT,Gordon Haskett,0.034007352941176405,90.0,87.04
12,2018,5,17,WMT,Royal Bank of Canada,0.011029411764705843,88.0,87.04
13,2018,5,14,WMT,Morgan Stanley,0.18011681964477289,99.0,83.89
14,2018,5,11,WMT,Loop Capital,0.05212238481073883,87.0,82.69
15,2018,5,11,WMT,Royal Bank of Canada,0.06421574555568998,88.0,82.69
16,2018,5,10,WMT,Credit Suisse Group,0.028557599225556674,85.0,82.64
17,2018,5,10,WMT,Wells Fargo & Co,0.028557599225556674,85.0,82.64
18,2018,5,10,WMT,Robert W. Baird,0.14956437560503377,95.0,82.64
19,2018,5,10,WMT,Morningstar,0.10116166505324298,91.0,82.64
20,2018,5,10,WMT,Royal Bank of Canada,1.0329138431752178,168.0,82.64
21,2018,5,10,WMT,Deutsche Bank,0.05275895450145218,87.0,82.64
22,2018,5,10,WMT,Telsey Advisory Group,0.2705711519845111,105.0,82.64
23,2018,5,9,WMT,Robert W. Baird,0.15067829457364335,95.0,82.56
24,2018,5,2,WMT,Morningstar,0.0444163893033398,91.0,87.13
25,2018,5,2,WMT,Stifel Nicolaus,0.13623321473660055,99.0,87.13
26,2018,5,1,WMT,Credit Suisse Group,0.1634538610699212,102.0,87.67
27,2018,4,30,WMT,JPMorgan Chase & Co.,0.11439617921309986,98.0,87.94
28,2018,4,30,WMT,Royal Bank of Canada,0.17125312713213559,103.0,87.94
29,2018,4,19,WMT,Argus,0.1440338634023568,100.0,87.41
30,2018,4,16,WMT,Goldman Sachs Group,0.14849187935034802,99.0,86.2
31,2018,4,5,WMT,Loop Capital,0.05022831050228316,92.0,87.6
32,2018,4,2,WMT,Morgan Stanley,0.125,99.0,88.0
33,2018,3,8,WMT,Credit Suisse Group,0.16212828984846772,102.0,87.77
34,2018,3,2,WMT,Oppenheimer,0.06565830182193189,93.0,87.27
35,2018,2,26,WMT,Morgan Stanley,0.06566200215285245,99.0,92.9
36,2018,2,26,WMT,Credit Suisse Group,0.09795479009687824,102.0,92.9
37,2018,2,23,WMT,BMO Capital Markets,0.033591731266150004,96.0,92.88
38,2018,2,22,WMT,Stephens,0.18123154325713653,108.0,91.43
39,2018,2,22,WMT,Goldman Sachs Group,0.1702942141529038,107.0,91.43
40,2018,2,22,WMT,UBS Group,0.12654489773597288,103.0,91.43
41,2018,2,21,WMT,Barclays,0.2196404163600043,116.0,95.11
42,2018,2,21,WMT,MKM Partners,-0.011670697087582838,94.0,95.11
43,2018,2,21,WMT,JPMorgan Chase & Co.,0.030385868993796583,98.0,95.11
44,2018,2,21,WMT,Stifel Nicolaus,0.040900010514141494,99.0,95.11
45,2018,2,21,WMT,Telsey Advisory Group,0.15655556723793507,110.0,95.11
46,2018,2,20,WMT,Robert W. Baird,0.08258583359109184,105.0,96.99
47,2018,2,20,WMT,Bank of America,0.2372409526755337,120.0,96.99
48,2018,2,16,WMT,Goldman Sachs Group,0.0961295954990784,113.0,103.09
49,2018,2,16,WMT,Jefferies Financial Group,0.15433116694150728,119.0,103.09
50,2018,2,16,WMT,UBS Group,0.01852750024250649,105.0,103.09
51,2018,2,8,WMT,Cowen,0.16245277535600122,120.0,103.23
52,2018,1,26,WMT,Barclays,0.12149532710280364,120.0,107.0
53,2018,1,18,WMT,Macquarie,-0.1884666793966011,85.0,104.74
54,2018,1,16,WMT,Stephens,0.15452930728241565,117.0,101.34
55,2018,1,16,WMT,Goldman Sachs Group,0.13479376356818618,115.0,101.34
56,2018,1,5,WMT,Royal Bank of Canada,0.06382978723404253,106.0,99.64
57,2018,1,4,WMT,UBS Group,0.004621257785814681,100.0,99.54
58,2018,1,2,WMT,Robert W. Baird,0.10775427995971798,110.0,99.3
59,2018,1,2,WMT,Wells Fargo & Co,0.017119838872104776,101.0,99.3
60,2017,12,27,WMT,Wells Fargo & Co,0.0144636400160707,101.0,99.56
61,2017,12,21,WMT,Wells Fargo & Co,0.016915022150624237,101.0,99.32
62,2017,12,19,WMT,Citigroup,0.17257967528562834,117.0,99.78
63,2017,12,12,WMT,Morgan Stanley,0.032524522457408445,100.0,96.85
64,2017,11,29,WMT,Royal Bank of Canada,-0.01254885825961738,96.0,97.22
65,2017,11,22,WMT,Cowen,0.13812726332126224,110.0,96.65
66,2017,11,21,WMT,Barclays,0.12543482709228582,110.0,97.74
67,2017,11,20,WMT,Goldman Sachs Group,0.03691414350891753,100.0,96.44
68,2017,11,20,WMT,Jefferies Financial Group,0.14060555785980933,110.0,96.44
69,2017,11,17,WMT,UBS Group,-0.08303103587263194,91.0,99.24
70,2017,11,17,WMT,JPMorgan Chase & Co.,0.02781136638452253,102.0,99.24
71,2017,11,17,WMT,BMO Capital Markets,-0.002418379685610539,99.0,99.24
72,2017,11,17,WMT,Morgan Stanley,-0.07295445384925425,92.0,99.24
73,2017,11,17,WMT,Royal Bank of Canada,-0.07295445384925425,92.0,99.24
74,2017,11,17,WMT,Telsey Advisory Group,-0.03264812575574361,96.0,99.24
75,2017,11,16,WMT,Deutsche Bank,-0.07485281749369221,88.0,95.12
76,2017,11,16,WMT,Robert W. Baird,0.051303616484440706,100.0,95.12
77,2017,11,15,WMT,CIBC,-0.0037635598848794194,90.0,90.34
78,2017,11,15,WMT,Oppenheimer,0.10692937790568968,100.0,90.34
79,2017,11,14,WMT,Jefferies Financial Group,0.1576626240352812,105.0,90.7
80,2017,11,13,WMT,KeyCorp,0.09841827768014055,100.0,91.04
81,2017,11,13,WMT,Barclays,0.09841827768014055,100.0,91.04
82,2017,11,10,WMT,UBS Group,0.00842198581560294,91.0,90.24
83,2017,11,10,WMT,Royal Bank of Canada,-0.08023049645390068,83.0,90.24
84,2017,11,9,WMT,Robert W. Baird,0.056259728708027534,95.0,89.94
85,2017,11,8,WMT,Morgan Stanley,0.009987655706430232,90.0,89.11
86,2017,10,16,WMT,Susquehanna Bancshares,0.1434511434511434,99.0,86.58
87,2017,10,13,WMT,BMO Capital Markets,0.05519480519480524,91.0,86.24
88,2017,10,12,WMT,Goldman Sachs Group,0.061843640606767725,91.0,85.7
89,2017,10,11,WMT,Stifel Nicolaus,0.004965712934499988,85.0,84.58
90,2017,10,11,WMT,Royal Bank of Canada,-0.08961929534168833,77.0,84.58
91,2017,10,11,WMT,Telsey Advisory Group,0.08772759517616469,92.0,84.58
92,2017,10,11,WMT,KeyCorp,0.18231260345235278,100.0,84.58
93,2017,10,11,WMT,Jefferies Financial Group,0.14684322534878214,97.0,84.58
94,2017,10,10,WMT,Bank of America,0.2094823415578131,100.0,82.68
95,2017,10,10,WMT,Oppenheimer,0.08853410740203183,90.0,82.68
96,2017,10,6,WMT,JPMorgan Chase & Co.,0.06626047220106623,84.0,78.78
97,2017,10,3,WMT,Robert W. Baird,0.14169732335405305,90.0,78.83
98,2017,10,3,WMT,Goldman Sachs Group,0.10364074590891792,87.0,78.83
99,2017,9,19,WMT,KeyCorp,0.12247443252681456,90.0,80.18
100,2017,9,18,WMT,Royal Bank of Canada,-0.04001994763745165,77.0,80.21
101,2017,9,17,WMT,Robert W. Baird,,85.0,
102,2017,8,21,WMT,Robert W. Baird,0.07431749241658236,85.0,79.12
103,2017,8,20,WMT,UBS Group,,84.0,
104,2017,8,18,WMT,Oppenheimer,0.1303692539562924,90.0,79.62
105,2017,8,18,WMT,Credit Suisse Group,0.05501130369253948,84.0,79.62
106,2017,8,18,WMT,Royal Bank of Canada,-0.03290630494850544,77.0,79.62
107,2017,8,17,WMT,Jefferies Financial Group,0.17945466074825633,93.0,78.85
108,2017,8,15,WMT,Citigroup,-0.010268464678955813,80.0,80.83
109,2017,8,14,WMT,JPMorgan Chase & Co.,-0.007321007569177307,80.0,80.59
110,2017,8,11,WMT,Jefferies Financial Group,0.09005326396630742,88.0,80.73
111,2017,8,11,WMT,Stephens,0.12721417069243146,91.0,80.73
112,2017,8,7,WMT,Cowen,0.06739481196475117,86.0,80.57
113,2017,8,4,WMT,Royal Bank of Canada,-0.06242289661978784,76.0,81.06
114,2017,8,3,WMT,Citigroup,-0.04106220801573646,78.0,81.34
115,2017,8,2,WMT,Oppenheimer,0.12023898431665425,90.0,80.34
116,2017,7,26,WMT,Goldman Sachs Group,0.06938255887969458,84.0,78.55
117,2017,7,24,WMT,Royal Bank of Canada,-0.02669998684729713,74.0,76.03
118,2017,7,17,WMT,Jefferies Financial Group,0.1534932494429151,88.0,76.29
119,2017,7,14,WMT,Goldman Sachs Group,0.1013504654516848,84.0,76.27
120,2017,6,22,WMT,Jefferies Financial Group,-0.006444824411416472,75.54,76.03
121,2017,6,14,WMT,Jefferies Financial Group,0.10663983903420537,88.0,79.52
122,2017,6,13,WMT,Deutsche Bank,0.022598156798384172,81.0,79.21
123,2017,6,5,WMT,Cowen,0.08040201005025138,86.0,79.6
124,2017,5,31,WMT,Robert W. Baird,0.0848755583918317,85.0,78.35
125,2017,5,29,WMT,Jefferies Financial Group,,88.0,
126,2017,5,29,WMT,Sanford C. Bernstein,,75.0,
127,2017,5,29,WMT,Morgan Stanley,,77.0,
128,2017,5,22,WMT,Goldman Sachs Group,-0.008264462809917439,78.0,78.65
129,2017,5,21,WMT,UBS Group,,80.0,
130,2017,5,20,WMT,Jefferies Financial Group,,88.0,
131,2017,5,20,WMT,Sanford C. Bernstein,,75.0,
132,2017,5,19,WMT,Stifel Nicolaus,0.013210209054764777,79.0,77.97
133,2017,5,19,WMT,Credit Suisse Group,0.026035654739002156,80.0,77.97
134,2017,5,19,WMT,BMO Capital Markets,0.026035654739002156,80.0,77.97
135,2017,5,19,WMT,Telsey Advisory Group,0.07733743747595234,84.0,77.97
136,2017,5,18,WMT,BMO Capital Markets,-0.18064767850175578,63.0,76.89
137,2017,5,15,WMT,Robert W. Baird,0.0554089709762533,80.0,75.8
138,2017,5,15,WMT,Morgan Stanley,0.0158311345646438,77.0,75.8
