,Year,Month,Day,stock,brokerage,yield,price_target,open
0,2018,7,16,XOM,HSBC,0.1330586524478914,93.5,82.52
1,2018,7,11,XOM,Societe Generale,0.04781404311694559,87.0,83.03
2,2018,7,11,XOM,Credit Suisse Group,-0.036492833915452216,80.0,83.03
3,2018,7,11,XOM,Barclays,0.04781404311694559,87.0,83.03
4,2018,7,10,XOM,Barclays,0.0035842293906809264,84.0,83.7
5,2018,7,10,XOM,Macquarie,-0.16367980884109923,70.0,83.7
6,2018,7,10,XOM,JPMorgan Chase & Co.,0.05137395459976091,88.0,83.7
7,2018,7,2,XOM,Royal Bank of Canada,0.2822078397850776,105.0,81.89
8,2018,6,26,XOM,Wells Fargo & Co,0.07298814722395508,86.0,80.15
9,2018,6,21,XOM,Goldman Sachs Group,0.06223444138965273,85.0,80.02
10,2018,6,21,XOM,Royal Bank of Canada,0.2496875781054737,100.0,80.02
11,2018,6,21,XOM,Wells Fargo & Co,0.0247438140464884,82.0,80.02
12,2018,6,13,XOM,Royal Bank of Canada,0.21300339640950994,100.0,82.44
13,2018,6,11,XOM,Morningstar,0.015289058767319563,85.0,83.72
14,2018,6,11,XOM,Jefferies Financial Group,0.039178213091256575,87.0,83.72
15,2018,6,8,XOM,Mizuho,-0.025388039947058072,81.0,83.11
16,2018,5,30,XOM,Royal Bank of Canada,0.26182965299684535,100.0,79.25
17,2018,5,23,XOM,Goldman Sachs Group,0.037677578752316254,84.0,80.95
18,2018,5,23,XOM,BNP Paribas,0.05003088326127236,85.0,80.95
19,2018,5,18,XOM,Morningstar,0.04230533415082771,85.0,81.55
20,2018,5,16,XOM,UBS Group,0.03962818003913893,85.0,81.76
21,2018,5,14,XOM,HSBC,0.07711138310893517,88.0,81.7
22,2018,5,7,XOM,Credit Suisse Group,0.016207872395163525,79.0,77.74
23,2018,4,30,XOM,Credit Suisse Group,0.01399050186112194,79.0,77.91
24,2018,4,30,XOM,Goldman Sachs Group,0.06533179309459647,83.0,77.91
25,2018,4,27,XOM,Credit Suisse Group,0.06562703053931118,82.0,76.95
26,2018,4,27,XOM,JPMorgan Chase & Co.,0.078622482131254,83.0,76.95
27,2018,4,23,XOM,UBS Group,0.05169792194627476,83.0,78.92
28,2018,4,13,XOM,Credit Suisse Group,0.05398457583547556,82.0,77.8
29,2018,4,9,XOM,JPMorgan Chase & Co.,0.10342993884605156,83.0,75.22
30,2018,3,27,XOM,JPMorgan Chase & Co.,0.12162162162162171,83.0,74.0
31,2018,3,15,XOM,HSBC,0.10961667787491591,82.5,74.35
32,2018,3,13,XOM,Societe Generale,0.15491835921943453,87.0,75.33
33,2018,3,9,XOM,Credit Suisse Group,0.06923282544774145,80.0,74.82
34,2018,3,8,XOM,JPMorgan Chase & Co.,0.11409395973154357,83.0,74.5
35,2018,3,8,XOM,Goldman Sachs Group,0.14093959731543615,85.0,74.5
36,2018,3,8,XOM,Citigroup,0.08724832214765099,81.0,74.5
37,2018,3,8,XOM,Royal Bank of Canada,0.20805369127516782,90.0,74.5
38,2018,3,8,XOM,Wells Fargo & Co,0.10067114093959728,82.0,74.5
39,2018,3,7,XOM,Bank of America,0.33333333333333326,100.0,75.0
40,2018,2,28,XOM,Bank of America,0.3050153531218014,102.0,78.16
41,2018,2,23,XOM,Piper Jaffray Companies,0.07767117886713093,82.0,76.09
42,2018,2,20,XOM,Barclays,0.09846998823067876,84.0,76.47
43,2018,2,15,XOM,HSBC,-0.08640041764552342,70.0,76.62
44,2018,2,6,XOM,Barclays,0.06992739778372181,84.0,78.51
45,2018,2,5,XOM,Jefferies Financial Group,0.04466858789625361,87.0,83.28
46,2018,2,5,XOM,Credit Suisse Group,-0.03938520653218058,80.0,83.28
47,2018,2,5,XOM,Piper Jaffray Companies,-0.00336215177713739,83.0,83.28
48,2018,2,1,XOM,Goldman Sachs Group,0.0971428571428572,96.0,87.5
49,2018,1,24,XOM,Morgan Stanley,0.017064075036727466,90.0,88.49
50,2018,1,23,XOM,Credit Suisse Group,-0.04815864022662886,84.0,88.25
51,2018,1,22,XOM,Goldman Sachs Group,0.0554089709762533,92.0,87.17
52,2018,1,19,XOM,Jefferies Financial Group,0.027749229188078095,90.0,87.57
53,2018,1,18,XOM,HSBC,-0.08852683149139795,80.0,87.77
54,2018,1,11,XOM,Wells Fargo & Co,0.018990273274664293,88.0,86.36
55,2018,1,10,XOM,BMO Capital Markets,-0.02298850574712641,85.0,87.0
56,2018,1,8,XOM,JPMorgan Chase & Co.,-0.042675893886966576,83.0,86.7
57,2017,12,20,XOM,Jefferies Financial Group,0.02868207672758083,85.0,82.63
58,2017,12,14,XOM,Goldman Sachs Group,0.07177263969171466,89.0,83.04
59,2017,12,12,XOM,JPMorgan Chase & Co.,-0.02515344806835962,81.0,83.09
60,2017,12,11,XOM,Credit Suisse Group,0.0006027727546713546,83.0,82.95
61,2017,12,4,XOM,UBS Group,-0.0025237351279893128,83.0,83.21
62,2017,11,16,XOM,Royal Bank of Canada,0.056688214818498395,85.0,80.44
63,2017,11,15,XOM,BNP Paribas,-0.08256880733944949,75.0,81.75
64,2017,11,7,XOM,Goldman Sachs Group,0.026988297110102755,86.0,83.74
65,2017,10,30,XOM,Goldman Sachs Group,0.027356349301158822,86.0,83.71
66,2017,10,30,XOM,Wells Fargo & Co,0.0034643411778760846,84.0,83.71
67,2017,10,19,XOM,Jefferies Financial Group,0.020036429872495543,84.0,82.35
68,2017,10,18,XOM,BMO Capital Markets,-0.03567984570877525,80.0,82.96
69,2017,10,17,XOM,Morgan Stanley,0.02868207672758083,85.0,82.63
70,2017,10,13,XOM,Barclays,0.1362262782545629,94.0,82.73
71,2017,10,10,XOM,Barclays,0.10517367014816603,91.0,82.34
72,2017,10,3,XOM,Goldman Sachs Group,0.04409777668591097,85.0,81.41
73,2017,9,25,XOM,BNP Paribas,-0.12532800199925032,70.0,80.03
74,2017,9,19,XOM,Cowen,0.24906320259805148,100.0,80.06
75,2017,9,18,XOM,Societe Generale,0.19062539165308934,95.0,79.79
76,2017,9,6,XOM,UBS Group,-0.024264989087174227,76.0,77.89
77,2017,8,29,XOM,Jefferies Financial Group,0.06285264400997259,81.0,76.21
78,2017,8,29,XOM,Royal Bank of Canada,0.18094738223330276,90.0,76.21
79,2017,8,25,XOM,Piper Jaffray Companies,-0.007314524555903867,76.0,76.56
80,2017,8,21,XOM,Independent Research,0.09846998823067876,84.0,76.47
